gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
SLC39A11,9,19,0.01847415,0.15295777,0.1940188524113544,0.0007490122,0.04194468446075916,True,0.01048617111518979
SLC39A14,9,19,0.00077264215,0.018310033,0.025301106756380705,0.0022232558,0.062251162715256214,True,0.015562790678814054
SLC30A9,9,19,0.055801883,0.1513952,0.13791200631580058,0.0058467328,0.10913901155193648,True,0.02728475288798412
ITM2C,9,19,0.23238796,0.39559576,0.23545908253482195,0.00789887,0.11058417893946171,False,
FTL,9,19,3.1005635,2.839431,-0.3767345320557151,0.010528256,0.11558527996142706,False,
SLC30A1,9,19,0.008672165,0.030912923,0.03208663118882334,0.012384137,0.11558527996142706,True,0.043344479985535145
SLC39A9,9,19,0.03722733,0.08972647,0.07574025115660606,0.02258581,0.1405339241027832,True,0.0527002215385437
C9orf142,9,19,0.4779405,0.16502447,-0.45144241972931226,0.020483328,0.1405339241027832,False,
SLC39A1,9,19,0.053699866,0.08893136,0.05082830083069409,0.019442575,0.1405339241027832,True,0.0527002215385437
CISH,9,19,0.4256246,0.26640204,-0.22970961652515282,0.026853884,0.14200828472773236,False,
RPL27A,9,19,3.448791,2.5735948,-1.2626412442211632,0.030430347,0.14200828472773236,False,
SLC39A6,9,19,0.055807583,0.10186771,0.06645072113386608,0.030407632,0.14200828472773236,True,0.06081526353955269
CD8A,9,19,0.21476895,0.35952374,0.2088370280945135,0.038822852,0.16164591908454895,False,
ENSG00000289901,9,19,0.30967602,0.9466346,0.9189370121595557,0.04041148,0.16164591908454895,False,
CD8B,9,19,0.21615519,0.36327067,0.21224277903171831,0.04910535,0.18332663973172506,False,
FYB,9,19,0.63577354,0.26290965,-0.5379288832125506,0.052905735,0.18517007119953632,False,
CD74,9,19,1.5044664,2.0639927,0.8072258532742692,0.076575965,0.2522502366234275,False,
C10orf54,9,19,0.30166075,0.13470902,-0.2408604341613134,0.08587258,0.267159147395028,False,
TMSB4X,9,19,4.822067,4.422316,-0.5767183662361011,0.09442095,0.2782933178700899,False,
RARRES3,9,19,0.5006134,0.2478605,-0.3646453555786157,0.120183386,0.2804279004534086,False,
H2AFZ,9,19,0.6785498,0.3094465,-0.5325035185084325,0.10771898,0.2804279004534086,False,
AES,9,19,0.5958154,0.29423508,-0.4350884604717797,0.120183386,0.2804279004534086,False,
GZMA,9,19,0.7519791,0.91708356,0.23819536950571193,0.115454935,0.2804279004534086,False,
FTH1,9,19,3.0714166,2.9022875,-0.24400176177281666,0.10451835,0.2804279004534086,False,
CTSW,9,19,0.51778597,0.61756414,0.14394947877217082,0.12727189,0.28508903503417965,False,
SLC39A10,9,19,0.15694115,0.24457254,0.12642537105599902,0.14000916,0.2903893788655599,True,0.24501603841781616
MT-CYB,9,19,2.9391832,3.251356,0.4503699359185318,0.14000916,0.2903893788655599,False,
SLC39A7,9,19,0.056661215,0.08282808,0.03775080992703803,0.16816387,0.31434091726938884,True,0.2615882356961568
RPS20,9,19,2.533764,1.7389629,-1.1466554565486815,0.16839692,0.31434091726938884,False,
MTRNR2L10,9,19,0.5079115,0.26984507,-0.34345726497496853,0.1643999,0.31434091726938884,False,
RPS17,9,19,2.8076544,1.936368,-1.2570005572381648,0.18411827,0.33260074738533263,False,
VIMP,9,19,0.24449049,0.15345721,-0.13133326146150234,0.21988067,0.37313083446387085,False,
CCL4,9,19,0.2525576,0.31648836,0.09223257583121565,0.21877299,0.37313083446387085,False,
