gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
FCRL1,8,18,0.08839971,0.20804793,0.1726158909832855,0.01814102,0.2354267408901995,False,
KCNQ5,8,18,0.05809687,0.2254182,0.24139364487248216,0.015905052,0.2354267408901995,False,
FHIT,8,18,0.12343845,0.307095,0.2649603845245501,0.0180224,0.2354267408901995,False,
PRKCA,8,18,0.089631826,0.34974712,0.3752670470915655,0.013269276,0.2354267408901995,False,
PPP2R2B,8,18,0.046655387,0.16976398,0.17760816037686838,0.016247362,0.2354267408901995,False,
PLCB1,8,18,0.076425835,0.2550478,0.25769701973282977,0.01991486,0.2354267408901995,False,
CDK14,8,18,0.081196725,0.23454945,0.22124121229449947,0.022716615,0.2354267408901995,False,
NAMPT,8,18,0.10816288,0.18664902,0.11323157151023915,0.015812837,0.2354267408901995,False,
TOX,8,18,0.07244122,0.21713479,0.20874869350546407,0.015486041,0.2354267408901995,False,
AUTS2,8,18,0.06904838,0.20874488,0.2015394602531028,0.02091547,0.2354267408901995,False,
IFNG-AS1,8,18,0.1600984,0.368581,0.3007768034626352,0.0153095955,0.2354267408901995,False,
SLC38A4-AS1,8,18,0.0389963,0.14950314,0.159427670124763,0.025714869,0.24429125245660543,False,
TGFBR3,8,18,0.08709602,0.27087227,0.2651330766038477,0.03185391,0.2506810608319938,False,
TALAM1,8,18,0.3401277,0.97107136,0.910259283544971,0.029757833,0.2506810608319938,False,
TIGIT,8,18,0.10950327,0.17630267,0.09637116634157827,0.03473177,0.2506810608319938,False,
AIF1,8,18,0.3090119,0.20513883,-0.14985716882063374,0.035183307,0.2506810608319938,False,
SLC30A9,8,18,0.06445845,0.1617485,0.14035986763227798,0.039486725,0.26479333157048507,True,0.27988799288868904
IGHM,8,18,0.36143064,0.57446676,0.30734615376463004,0.046987887,0.2975899539887905,False,
LINC01934,8,18,0.06599796,0.23539445,0.24438747586303922,0.05911481,0.33695441745221616,False,
ZC3H12B,8,18,0.098778725,0.22154441,0.17711345228166153,0.058968965,0.33695441745221616,False,
SLC39A9,8,18,0.05584157,0.11567901,0.08632718067625018,0.06254884,0.33955083787441254,True,0.27988799288868904
ENSG00000282885,8,18,0.077399716,0.21923405,0.2046236896245196,0.086205564,0.3438856914639473,False,
CD68,8,18,0.21739838,0.14728579,-0.10115108015700831,0.090496235,0.3438856914639473,False,
SLC39A4,8,18,0.029997874,0.060652375,0.04422509681876847,0.07991184,0.3438856914639473,True,0.27988799288868904
HBB,8,18,1.419513,0.36055285,-1.5277566281098034,0.080066696,0.3438856914639473,False,
H2AC6,8,18,0.050205607,0.13218787,0.11827541420124953,0.086205564,0.3438856914639473,False,
PDE4D,8,18,0.15917268,0.33357805,0.2516137568956673,0.08996086,0.3438856914639473,False,
RHEX,8,18,0.062028863,0.15692884,0.13691172297163545,0.07623627,0.3438856914639473,False,
SLC39A10,8,18,0.13947532,0.20409825,0.09323119309345054,0.079968,0.3438856914639473,True,0.27988799288868904
FTL,8,18,2.906187,2.7498057,-0.22561062502015136,0.070399895,0.3438856914639473,False,
SLC39A11,8,18,0.076190755,0.1807232,0.15080844785821865,0.10065268,0.3701421128165337,True,0.28182750344276425
BEX3,8,18,0.041784585,0.08674858,0.06486932991026687,0.10929321,0.38935705181211233,False,
IGLC2,8,18,0.18426853,0.3695293,0.26727479805287363,0.1147186,0.39630062200806354,False,
FOSB,8,18,0.059145167,0.19356103,0.19392110177217023,0.14071062,0.44214606285095215,False,
SLC39A7,8,18,0.13550496,0.11213747,-0.0337121682091159,0.13354799,0.44214606285095215,True,0.31161198019981384
NCOA4,8,18,0.21738249,0.2853359,0.0980360443932557,0.14350355,0.44214606285095215,False,
ENSG00000289901,8,18,0.3998593,0.9166548,0.7455783281071937,0.13701639,0.44214606285095215,False,
IFI30,8,18,0.17911884,0.3255924,0.21131667395465345,0.14854458,0.44563373923301697,False,
MT-ATP6,8,18,3.4931293,3.2967231,-0.2833541440126411,0.15974012,0.45525934249162675,False,
TYROBP,8,18,0.53959364,0.46715224,-0.10451084723293871,0.15974012,0.45525934249162675,False,
CLIC3,8,18,0.29637122,0.22912458,-0.09701640225195282,0.17340508,0.46989951785220657,False,
PECAM1,8,18,0.13703051,0.19864276,0.08888768525458488,0.1772428,0.46989951785220657,False,
PTGDR,8,18,0.078704245,0.13374913,0.07941297828698621,0.17274266,0.46989951785220657,False,
RPL27A,8,18,3.313805,2.7687674,-0.7863232538710543,0.1960884,0.49675728877385456,False,
RPS17,8,18,2.8465471,2.290635,-0.8020115112827597,0.1960884,0.49675728877385456,False,
NELL2,8,18,0.17335556,0.26134956,0.12694849928426097,0.21122147,0.523461907454159,False,
CISH,8,18,0.07910299,0.111195296,0.046299406443114,0.21884654,0.530819278448186,False,
TBX21,8,18,0.10414054,0.15111172,0.06776508779416941,0.2319847,0.5316802841775558,False,
SLC39A14,8,18,0.0052221697,0.011651399,0.009275416696453551,0.23629554,0.5316802841775558,True,0.4725910723209381
MAN1A1,8,18,0.10363383,0.15903896,0.07993270985789362,0.23785697,0.5316802841775558,False,
CMC1,8,18,0.33936304,0.41045412,0.10256275675095296,0.23785697,0.5316802841775558,False,
RPS20,8,18,2.9442692,2.38905,-0.801011948115945,0.26083115,0.5506435334682465,False,
IFITM3,8,18,0.30830956,0.3764423,0.09829479229147879,0.26083115,0.5506435334682465,False,
MZB1,8,18,0.34364137,0.27047315,-0.10555942545524925,0.26083115,0.5506435334682465,False,
RUFY1,8,18,0.12018894,0.15591258,0.05153832045586552,0.28524685,0.5606575998766669,False,
CTSA,8,18,0.19238997,0.29554844,0.14882621882003663,0.27857834,0.5606575998766669,False,
CST3,8,18,0.41237944,0.28945982,-0.17733552487958812,0.28524685,0.5606575998766669,False,
IGHA1,8,18,0.3034782,0.3728453,0.10007554365417502,0.28524685,0.5606575998766669,False,
ACTN1,8,18,0.09221392,0.122973904,0.044377274592492855,0.30239564,0.5761300683021545,False,
SLC39A1,8,18,0.06809552,0.10491462,0.05311873352813794,0.30322635,0.5761300683021545,True,0.5306461155414581
PRF1,8,18,0.3732137,0.44209272,0.09937140368587997,0.31106943,0.5813428671633611,False,
FCGR3A,8,18,0.1486894,0.20351492,0.0790964979626516,0.3306091,0.59869422799065,False,
GZMH,8,18,0.24691719,0.3261944,0.11437284838136474,0.33085734,0.59869422799065,False,
RUNX2,8,18,0.15169057,0.21927889,0.09750932602715698,0.3383425,0.6026725564152002,False,
XBP1,8,18,0.62421906,0.58787227,-0.05243733826541949,0.36701092,0.6244663436021377,False,
GZMB,8,18,0.42204887,0.36927807,-0.07613216199671752,0.36701092,0.6244663436021377,False,
MT1F,8,18,0.18320367,0.11719199,-0.09523471573359252,0.3592352,0.6244663436021377,True,0.5588103069199456
CX3CR1,8,18,0.09082141,0.116374545,0.03686538412136006,0.3883646,0.6428539027338442,False,
MYBL1,8,18,0.10693608,0.1901664,0.12007596506662635,0.38909578,0.6428539027338442,False,
PLD4,8,18,0.25452214,0.17083885,-0.12072947764207366,0.40457645,0.6588816480977194,False,
TMSB4X,8,18,4.5086746,4.331772,-0.2552167504355804,0.42854938,0.6785365169246992,False,
NUDT1,8,18,0.21151938,0.19009727,-0.030905561831854365,0.42854938,0.6785365169246992,False,
JCHAIN,8,18,0.711809,0.5003404,-0.30508466789710953,0.46135667,0.701262137889862,False,
C1orf21,8,18,0.07761699,0.110071935,0.04682258841595434,0.45294556,0.701262137889862,False,
FTH1,8,18,2.8090706,2.6567435,-0.21976149506430723,0.46135667,0.701262137889862,False,
TTC38,8,18,0.083501875,0.11441331,0.04459577855041405,0.48710558,0.711923537346033,False,
FGFBP2,8,18,0.19852158,0.22411098,0.03691768834505371,0.48710558,0.711923537346033,False,
FOS,8,18,0.34701696,0.43536595,0.12746064212069905,0.48665768,0.711923537346033,False,
LST1,8,18,0.21410969,0.2306543,0.023868827178308474,0.49543518,0.7149317762519739,False,
