gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
MZB1,8,0.34364137,0.06362528,-0.40397783082660277,0.015625,0.17067307692307693,False,
JCHAIN,8,0.711809,0.06996656,-0.9259828833914286,0.015625,0.17067307692307693,False,
RPS20,8,2.9442692,2.4339547,-0.7362281473277353,0.015625,0.17067307692307693,False,
IGKC,8,1.1849731,0.11458771,-1.5442397893337967,0.015625,0.17067307692307693,False,
IGHM,8,0.36143064,0.042699777,-0.45983143246876107,0.015625,0.17067307692307693,False,
IGHG1,8,0.2348553,0.0052164216,-0.3312988654808969,0.015625,0.17067307692307693,False,
IGHA1,8,0.3034782,0.041803587,-0.37751666615617646,0.015625,0.17067307692307693,False,
MT-CYB,8,3.5601268,2.9755301,-0.8433946646639722,0.0078125,0.17067307692307693,False,
GNLY,8,0.7378409,0.17340599,-0.8143074109061962,0.015625,0.17067307692307693,False,
HBB,8,1.419513,0.41733512,-1.4458369919375762,0.0078125,0.17067307692307693,False,
CISH,8,0.07910299,0.4363065,0.515335737347017,0.0078125,0.17067307692307693,False,
CDK14,8,0.081196725,0.0018956051,-0.11440733090286274,0.015625,0.17067307692307693,False,
PRF1,8,0.3732137,0.1970367,-0.2541696985592963,0.015625,0.17067307692307693,False,
PPP1R14A,8,0.110886775,0.007951222,-0.1485046112629232,0.03125,0.221875,False,
PPBP,8,0.1415252,0.0,-0.20417769561516963,0.03125,0.221875,False,
DERL3,8,0.15745962,0.04238742,-0.16601408970485598,0.03125,0.221875,False,
KLRF1,8,0.13619159,0.007794326,-0.18523810618890282,0.03125,0.221875,False,
SLC39A7,8,0.13550496,0.057809204,-0.11209128353935602,0.03125,0.221875,True,0.3828125
CD14,8,0.019094717,0.2519812,0.335984167340521,0.03125,0.221875,False,
MAN1A1,8,0.10363383,0.028735448,-0.10805551715637798,0.03125,0.221875,False,
CD74,8,2.7639961,1.5212648,-1.7928823309574955,0.0390625,0.22187500000000002,False,
NCOA4,8,0.21738249,0.1258187,-0.13209862725350455,0.0390625,0.22187500000000002,False,
NUDT1,8,0.21151938,0.12250824,-0.12841591975491654,0.0390625,0.22187500000000002,False,
GZMB,8,0.42204887,0.06695532,-0.512291687422408,0.0390625,0.22187500000000002,False,
CD8B,8,0.37372148,0.19855943,-0.25270541677201896,0.0390625,0.22187500000000002,False,
GZMH,8,0.24691719,0.093048304,-0.22198587567490408,0.046875,0.2377232142857143,False,
KLRC1,8,0.2307,0.026412338,-0.294724798472267,0.046875,0.2377232142857143,False,
PRKCA,8,0.089631826,0.13266775,0.06208771476195884,0.046875,0.2377232142857143,False,
MYOM2,8,0.093958996,0.024496458,-0.10021325876185341,0.0625,0.23986486486486489,False,
IGLC2,8,0.18426853,0.03513062,-0.21516052919709994,0.0546875,0.23986486486486489,False,
MT-ATP6,8,3.4931293,2.9897623,-0.7262049984354509,0.0546875,0.23986486486486489,False,
FGFBP2,8,0.19852158,0.019668173,-0.2580309240494799,0.0625,0.23986486486486489,False,
C1orf21,8,0.07761699,0.02267498,-0.07926456800820729,0.0625,0.23986486486486489,False,
TBX21,8,0.10414054,0.05763024,-0.06710018136810243,0.0625,0.23986486486486489,False,
TMSB4X,8,4.5086746,4.773832,0.3825410103141453,0.0546875,0.23986486486486489,False,
SLC39A4,8,0.029997874,0.085744336,0.0804251445574344,0.0546875,0.23986486486486489,True,0.3828125
TTC38,8,0.083501875,0.023145014,-0.08707654670726432,0.0625,0.23986486486486489,False,
RHOB,8,0.06966386,0.19937652,0.18713582725201713,0.078125,0.2705792682926829,False,
SPON2,8,0.18278928,0.040829327,-0.2048049163428663,0.078125,0.2705792682926829,False,
MT-ND3,8,3.6066656,3.1303172,-0.687225474582697,0.078125,0.2705792682926829,False,
MYBL1,8,0.10693608,0.13749231,0.04408332399542128,0.078125,0.2705792682926829,False,
SLC39A11,8,0.076190755,0.02046684,-0.08039261296413212,0.09375,0.30959302325581395,True,0.4375
TRDC,8,0.20109408,0.062170234,-0.20042473320370413,0.09375,0.30959302325581395,False,
DUSP2,8,0.27799195,0.47552443,0.2849791220893183,0.109375,0.3235677083333333,False,
FTH1,8,2.8090706,3.0701938,0.3767211174089478,0.109375,0.3235677083333333,False,
CD8A,8,0.36589032,0.20540549,-0.23153067632164503,0.109375,0.3235677083333333,False,
STMN1,8,0.3311396,0.10533677,-0.32576461426095116,0.109375,0.3235677083333333,False,
NKG7,8,0.98672116,0.61358976,-0.5383148122810868,0.109375,0.3235677083333333,False,
FCRL1,8,0.08839971,0.018332874,-0.10108507106582403,0.125,0.3480392156862745,False,
ZC3H12B,8,0.098778725,0.047073487,-0.07459488969752247,0.125,0.3480392156862745,False,
SLC39A14,8,0.0052221697,0.0,-0.007533998303455422,0.125,0.3480392156862745,True,0.4375
FTL,8,2.906187,3.0999744,0.2795760291384869,0.1484375,0.3977004716981132,False,
KLRD1,8,0.30757618,0.130495,-0.25547414397042795,0.1484375,0.3977004716981132,False,
ADGRG1,8,0.06100485,0.013618919,-0.06836344768326816,0.1875,0.4546618852459017,False,
ITM2C,8,0.3934442,0.23223862,-0.23257050492659292,0.1953125,0.4546618852459017,False,
MS4A6A,8,0.10474925,0.16823679,0.09159316583313908,0.1953125,0.4546618852459017,False,
HLA-DRA,8,1.645955,0.81027055,-1.2056377665753362,0.1953125,0.4546618852459017,False,
PECAM1,8,0.13703051,0.06383627,-0.10559697141771575,0.1953125,0.4546618852459017,False,
RUNX2,8,0.15169057,0.09692961,-0.07900336935720939,0.1953125,0.4546618852459017,False,
CCL5,8,1.1439703,1.3412749,0.28465037725219405,0.1953125,0.4546618852459017,False,
RUFY1,8,0.12018894,0.068821006,-0.07410825941244831,0.1953125,0.4546618852459017,False,
TALAM1,8,0.3401277,0.23871717,-0.146304480206098,0.25,0.4671052631578948,False,
PLCB1,8,0.076425835,0.05420875,-0.03205247650925356,0.25,0.4671052631578948,False,
PLD4,8,0.25452214,0.096265,-0.228316793529309,0.25,0.4671052631578948,False,
RPS17,8,2.8465471,2.6857257,-0.23201629083418754,0.25,0.4671052631578948,False,
MT-ND4L,8,1.7814258,1.693681,-0.12658903404612634,0.25,0.4671052631578948,False,
TRGV9,8,0.08004309,0.03701189,-0.0620808999494184,0.25,0.4671052631578948,False,
SLC38A4-AS1,8,0.0389963,0.008739589,-0.04365120952344171,0.25,0.4671052631578948,False,
RHEX,8,0.062028863,0.014241405,-0.06894272824703682,0.25,0.4671052631578948,False,
LINC02446,8,0.12151753,0.025729401,-0.13819305821405745,0.25,0.4671052631578948,False,
CMC1,8,0.33936304,0.40663373,0.09705109975176439,0.25,0.4671052631578948,False,
EGR1,8,0.05167888,0.17303233,0.17507601681255255,0.21875,0.4671052631578948,False,
ENSG00000282885,8,0.077399716,0.11629425,0.05611295147965944,0.25,0.4671052631578948,False,
FCGR3A,8,0.1486894,0.06532098,-0.12027520696765091,0.25,0.4671052631578948,False,
FHIT,8,0.12343845,0.06955455,-0.07773802850131764,0.21875,0.4671052631578948,False,
BEX3,8,0.041784585,0.031952184,-0.014185155915453653,0.25,0.4671052631578948,False,
ACTN1,8,0.09221392,0.03387915,-0.08415928561754608,0.3125,0.5159883720930233,False,
SLC30A1,8,0.020881224,0.0076253596,-0.01912416980630531,0.3125,0.5159883720930233,True,0.7291666666666666
S1PR5,8,0.096092336,0.038231052,-0.08347618665169253,0.3125,0.5159883720930233,False,
CTSW,8,0.70763874,0.52088284,-0.269431804459995,0.3125,0.5159883720930233,False,
FCRL6,8,0.11335135,0.05151177,-0.0892156615442381,0.296875,0.5159883720930233,False,
PDE4D,8,0.15917268,0.121172234,-0.054823060100357014,0.296875,0.5159883720930233,False,
C9orf142,8,0.31900007,0.44723785,0.18500801489987975,0.3125,0.5159883720930233,False,
FYB,8,0.39898336,0.61315703,0.30898729821048837,0.3125,0.5159883720930233,False,
MT2A,8,0.59217244,0.48765355,-0.150788884831683,0.3125,0.5159883720930233,True,0.7291666666666666
C10orf54,8,0.19659363,0.2884944,0.13258480070966236,0.3125,0.5159883720930233,False,
PTGDR,8,0.078704245,0.10897214,0.04366734095864686,0.375,0.6120689655172414,False,
IRF7,8,0.34232616,0.26485336,-0.11176963298657984,0.3828125,0.6177201704545455,False,
CD68,8,0.21739838,0.1573115,-0.0866870382498071,0.4609375,0.6747744845360825,False,
MT1E,8,0.09133135,0.069662035,-0.03126221085408112,0.4609375,0.6747744845360825,True,0.7291666666666666
CST7,8,0.59700185,0.71860766,0.17544010408442912,0.4609375,0.6747744845360825,False,
AES,8,0.58147407,0.53880054,-0.0615648875033359,0.4375,0.6747744845360825,False,
AUTS2,8,0.06904838,0.08778837,0.027036091923344996,0.4375,0.6747744845360825,False,
SLC39A10,8,0.13947532,0.16589156,0.03811058150926951,0.4609375,0.6747744845360825,True,0.7291666666666666
LST1,8,0.21410969,0.30204698,0.12686670003594433,0.4609375,0.6747744845360825,False,
HMHA1,8,0.23461166,0.13010144,-0.15077637309383274,0.4375,0.6747744845360825,False,
GZMK,8,0.57243145,0.7223382,0.21626973130383964,0.4609375,0.6747744845360825,False,
SLC39A9,8,0.05584157,0.039460197,-0.023633323810241056,0.46875,0.6792091836734694,True,0.7291666666666666
PGRMC1,8,0.09888078,0.08034295,-0.02674444159422871,0.546875,0.7765625,False,
IFITM3,8,0.30830956,0.2545673,-0.07753369161426127,0.546875,0.7765625,False,
SLC39A1,8,0.06809552,0.056556787,-0.01664687258424118,0.578125,0.8048406862745098,True,0.809375
NELL2,8,0.17335556,0.1316207,-0.06021067461261079,0.578125,0.8048406862745098,False,
RARRES3,8,0.39681908,0.47008294,0.10569739853690395,0.625,0.8423032407407408,False,
CLIC3,8,0.29637122,0.22646463,-0.10085389413631737,0.640625,0.8423032407407408,False,
LYZ,8,0.2622987,0.23497443,-0.03942059485872288,0.640625,0.8423032407407408,False,
GZMA,8,0.71501994,0.7310295,0.023096926045573476,0.640625,0.8423032407407408,False,
AIF1,8,0.3090119,0.32406703,0.021719946951440396,0.640625,0.8423032407407408,False,
RP11-347P5.1,8,0.08390437,0.14979538,0.09506063704417231,0.625,0.8423032407407408,False,
CX3CR1,8,0.09082141,0.06859196,-0.032070314334822735,0.6875,0.8875000000000001,False,
SLC39A6,8,0.08037721,0.05901406,-0.030820516411002707,0.6875,0.8875000000000001,True,0.875
TYROBP,8,0.53959364,0.4970937,-0.06131443776801694,0.7421875,0.9102564102564102,False,
