gene,scores,log2FC,pvalue,padj,is_zinc
RPL36AL,16.307493,0.40985566,8.730241436366999e-60,3.742945511818411e-56,False
INSIG1,14.70877,1.7130828,5.662753933552363e-49,1.45668682186701e-45,False
FTH1,13.006133,0.37434003,1.129121735581786e-38,1.452276376305293e-35,False
H3F3B,12.924626,1.8703055,3.2688023208356026e-38,4.101788824447563e-35,False
SQLE,12.808836,2.275752,1.4631202680025294e-37,1.75057236158591e-34,False
S100A11,12.575907,0.67269677,2.8649268683665164e-36,3.136058670717458e-33,False
RPL3,12.175847,0.24634457,4.180314729173862e-34,3.7080833135609802e-31,False
RPS18,11.974098,0.21149781,4.85688477245821e-33,4.0302743189262905e-30,False
CXCR3,11.766401,0.34431717,5.815270380893619e-32,4.3360004428436945e-29,False
ALDOA,11.656225,0.69607717,2.132909149716328e-31,1.4828906747919682e-28,False
GNB2L1,11.275497,1.5511132,1.7339533371447552e-29,1.0620051343978972e-26,False
SERF2,10.895608,0.2184637,1.2095660849529823e-27,6.349975095781738e-25,False
RPS3,10.625008,0.14876793,2.279942987837975e-26,1.0860972855397051e-23,False
GZMK,10.207397,0.8328536,1.837275187170071e-24,7.622914018510147e-22,False
TRAC,10.025779,0.6673438,1.174299626704933e-23,4.560660813614961e-21,False
SUB1,10.012208,0.45533141,1.34712439846331e-23,5.172153436726893e-21,False
FTL,9.956868,0.26496467,2.3536000227178713e-23,8.587802409133975e-21,False
HERPUD1,9.773635,0.80261874,1.4611353259437503e-22,5.0792223141320313e-20,False
SELT,9.766327,1.8139803,1.5704191324857918e-22,5.422478089136176e-20,False
H3F3A,9.7631855,1.1926788,1.6198537109185428e-22,5.555882247955812e-20,False
MSMO1,9.718886,1.7750067,2.5050549208318285e-22,8.423533697186661e-20,False
CD27,9.713982,0.60325396,2.628624035759198e-22,8.781652557905144e-20,False
GLTSCR2,9.641211,1.1493574,5.355258684144083e-22,1.7112878806325762e-19,False
ATP5L,9.611103,1.1517848,7.177556131986076e-22,2.2794500486322203e-19,False
ZFP36L2,9.548033,0.5091401,1.3218194806739331e-21,4.1215132510128793e-19,False
ATP5G2,9.531754,1.2034352,1.5464887857385788e-21,4.680220885216377e-19,False
LDLR,9.485918,2.185145,2.402590312718397e-21,7.186538744693959e-19,False
EEF1D,9.445686,0.18653154,3.530824802915502e-21,1.0380221397736957e-18,False
H2AFZ,9.436065,1.5548037,3.870446644109195e-21,1.1314019258302833e-18,False
SMDT1,9.297957,0.4666838,1.4316963123095893e-20,3.938925768754211e-18,False
RGCC,9.201037,0.9406535,3.5451089890878066e-20,9.305549350540279e-18,False
TRABD,9.109298,0.72392577,8.2917094699952e-20,2.111840934714421e-17,False
XBP1,9.1046,0.9803658,8.65851063156739e-20,2.1943992855806853e-17,False
RPL8,9.026747,0.15123765,1.7685142190344847e-19,4.374351901004143e-17,False
IGHG1,8.980536,2.9081838,2.694486717183555e-19,6.477848253535491e-17,False
ATP5E,8.876417,1.0106632,6.904832450912291e-19,1.5930036768364823e-16,False
ATP5B,8.838165,1.4121482,9.730306757248028e-19,2.1956351844162128e-16,False
C19orf43,8.833448,1.1835507,1.0149751265248233e-18,2.280281236220485e-16,False
FDFT1,8.770968,0.6376943,1.771360264301955e-18,3.9281440895606453e-16,False
YBX1,8.765572,0.31639257,1.858316321103386e-18,4.1032900467007296e-16,False
RPL10,8.755723,0.13721073,2.027995044457831e-18,4.458815771250705e-16,False
ATP5A1,8.704559,1.3999447,3.188109573817781e-18,6.805886363227269e-16,False
IGHG4,8.654982,3.0631971,4.929916603301642e-18,1.039485038551897e-15,False
CD2,8.640888,0.48843586,5.577770810374926e-18,1.1665250107811756e-15,False
SERP1,8.602971,0.32280904,7.767859419985911e-18,1.6049832587929122e-15,False
ATP5O,8.513034,1.2541256,1.694409747797227e-17,3.3528458732566048e-15,False
GYPC,8.501718,0.47491667,1.868059115705514e-17,3.654292980411303e-15,False
SEPT7,8.480878,1.1357923,2.2350107789171283e-17,4.306623016993574e-15,False
SELK,8.478308,1.7866712,2.2849358688425187e-17,4.3700884974055724e-15,False
GAPDH,8.432462,0.24126114,3.384672433693598e-17,6.3785577790720965e-15,False
TCEB2,8.403339,1.1374683,4.339564959097058e-17,8.089200652740052e-15,False
ATP5J,8.258546,1.3097892,1.4745801965934557e-16,2.652594473927976e-14,False
ATP5D,8.246363,1.6622307,1.6328818637797446e-16,2.9271256490501845e-14,False
SEPT1,8.232801,1.6343368,1.8288519430273943e-16,3.255736151033681e-14,False
ATPIF1,8.229296,1.2595246,1.8831794421022741e-16,3.340890204733717e-14,False
IDI1,8.173464,0.7716422,2.9965976479040756e-16,5.173454892260701e-14,False
PLP2,8.148152,0.5113693,3.6952554638764664e-16,6.295149109454186e-14,False
VIMP,8.012114,2.0044618,1.1275331375053274e-15,1.8533330625678622e-13,False
RPL36,7.9552875,0.06398716,1.787159850348693e-15,2.8733062493981116e-13,False
IGHGP,7.945094,3.3916438,1.94043243090227e-15,3.0812150526253084e-13,False
