gene,scores,log2FC,pvalue,padj,is_zinc
RPL36AL,14.95821,0.9672681,1.3767945704964708e-50,7.870369673655825e-47,False
MALAT1,14.309517,1.1677362,1.9083520149255365e-46,7.012921033134929e-43,False
RPL35,13.228525,0.6705925,6.005451354338928e-40,1.6261497962001535e-36,False
RPL36,13.046083,0.55926734,6.689901077540938e-39,1.6389620506539342e-35,False
RPS27,12.851463,0.5069783,8.439853408693193e-38,1.809223242376864e-34,False
RPL24,12.561009,0.55064064,3.458934350922812e-36,6.844432864856802e-33,False
TMSB4X,12.427899,0.77519155,1.8441661111351858e-35,3.5140243735438163e-32,False
RPL10,12.167954,0.40561634,4.604769404100601e-34,8.169178493178198e-31,False
RPS15A,11.892509,0.41075248,1.2945822487826177e-32,2.0813646104802535e-29,False
GNB2L1,11.716342,3.506947,1.0511359700004753e-31,1.5021900940162349e-28,False
RPL3,11.683003,0.5112976,1.5569594502151488e-31,2.164931075531594e-28,False
RPS18,11.671685,0.52027786,1.7786497460724508e-31,2.408104529893038e-28,False
H3F3B,11.654093,3.4846585,2.186968312545731e-31,2.885003737021866e-28,False
S100A11,11.649418,1.4952891,2.3103099195386355e-31,2.971520618510593e-28,False
TRAC,11.159054,1.7855837,6.46764341329348e-29,8.115788251881047e-26,False
RPL14,10.896033,0.41533956,1.2039236534764606e-27,1.4404526540478358e-24,False
RPS25,10.821728,0.46672407,2.7160746468614755e-27,3.1052579651495374e-24,False
ATP5E,10.754559,3.0056074,5.640368042709966e-27,6.174162873645581e-24,False
RPL27,10.638057,0.6598334,1.9822053230290748e-26,1.9996176364548988e-23,False
H3F3A,10.610499,2.8959267,2.66320831374601e-26,2.5852215344453722e-23,False
RPL18A,10.419693,0.4039171,2.0160278268415939e-25,1.920751845099006e-22,False
RPS3,10.4037,0.37428015,2.3848840364996287e-25,2.2052209228746586e-22,False
GLTSCR2,10.247708,3.1255734,1.211821129051192e-24,1.0220618597938643e-21,False
RPL23,10.200591,0.9937072,1.9706885810534345e-24,1.6352900986780177e-21,False
ATP5G2,10.08532,2.8726373,6.4155776488342384e-24,5.157322482456624e-21,False
RPS15,9.969803,0.33632603,2.0663902427990825e-23,1.563406547228341e-20,False
ATP5L,9.949627,2.652069,2.5312996540630627e-23,1.860432922889092e-20,False
NBEAL1,9.872247,2.0974982,5.492062528528557e-23,3.8183193644288815e-20,False
S100A6,9.826852,0.86309785,8.627395441955766e-23,5.918163209303204e-20,False
RPL31,9.58782,0.9166896,8.996553732422162e-22,5.785683705320693e-19,False
C19orf43,9.545747,3.071641,1.3513045812417172e-21,8.582952851323934e-19,False
RPS19,9.520773,0.37433237,1.7189495423066573e-21,1.0784940982023525e-18,False
RPL27A,9.517944,1.3410162,1.7663926285411664e-21,1.0949080476287461e-18,False
RPS24,9.279651,0.31531852,1.7003485431574855e-20,9.940855891859808e-18,False
RPL38,9.100532,0.68808174,8.989106854577041e-20,5.082105158838238e-17,False
RPL11,9.068422,0.3278296,1.2075245285454136e-19,6.752687167891787e-17,False
RPL13,8.991657,0.35257012,2.4353069108828823e-19,1.301828422125245e-16,False
TMA7,8.929654,0.4694974,4.2734300227940818e-19,2.176826017947623e-16,False
TPT1,8.871465,0.47012302,7.218997342711272e-19,3.605854129007859e-16,False
MTRNR2L8,8.670201,2.4500024,4.3135721906342864e-18,1.9814701969977928e-15,False
RPS28,8.634894,0.34246093,5.878149932328312e-18,2.6527987519160263e-15,False
TCEB2,8.5026455,2.536093,1.853178505122145e-17,8.079858282332552e-15,False
RPL30,8.390203,0.36473924,4.8529994297884074e-17,2.0135251182560806e-14,False
RPL9,8.351452,0.44295403,6.742884142716694e-17,2.7752632269959077e-14,False
AC090498.1,8.175408,2.697334,2.948665055365896e-16,1.1154626453563574e-13,False
FTH1,8.100119,0.55496544,5.490561150680353e-16,2.0033928374482469e-13,False
NAP1L1,7.943389,0.9709783,1.9673076397833958e-15,6.838786719701091e-13,False
MTRNR2L1,7.9091887,3.5674806,2.5907114194637233e-15,8.88579474057131e-13,False
C14orf2,7.9010696,2.3790004,2.765203639621891e-15,9.237934860471886e-13,False
RPS17,7.8068347,1.3168197,5.8642012973962635e-15,1.921665148716197e-12,False
H2AFZ,7.48501,2.5552645,7.154164207799085e-14,2.17791384711744e-11,False
FYB,7.456469,3.0261025,8.887196093873703e-14,2.6738506703954053e-11,False
PTMA,7.4195623,0.27712238,1.1750780882393524e-13,3.5148498537057096e-11,False
USMG5,7.405046,2.472438,1.3110504282657497e-13,3.8988972504864905e-11,False
ATP5O,7.2667694,2.502834,3.6818607906306273e-13,1.0465435025213508e-10,False
NHSL2,7.252253,2.3401613,4.0989528324750406e-13,1.1523657121594311e-10,False
ATXN8OS,7.251515,3.1141481,4.121357532238444e-13,1.1523674039054536e-10,False
C6orf48,7.1147146,2.477547,1.1214454548325465e-12,3.036638197906571e-10,False
C11orf31,7.1063495,2.7550967,1.1915266823158137e-12,3.2095112435488997e-10,False
OST4,7.0549264,0.45537117,1.7269238039642773e-12,4.5099886226575707e-10,False
RPL32,7.0219564,0.3174002,2.187828812859564e-12,5.599970983283524e-10,False
RPL28,7.0113764,0.25078326,2.3598476067847576e-12,5.980760575067104e-10,False
MTRNR2L12,6.978284,2.3419383,2.9880791319799643e-12,7.462655105927437e-10,False
BTF3,6.969303,0.36579645,3.1851489284105765e-12,7.916402998496006e-10,False
RPL7,6.9323964,0.6817709,4.137701159653253e-12,1.0234444676050028e-09,False
FAU,6.7606583,0.25493228,1.37366206966228e-11,3.271859544443749e-09,False
AES,6.748356,2.4152036,1.495296293335335e-11,3.5127855570555397e-09,False
RPL13A,6.7070208,0.9356139,1.986379955736958e-11,4.62422063179887e-09,False
ZNF90,6.6993933,2.0251684,2.092864348302803e-11,4.850165990607324e-09,False
RPL12,6.663348,0.28322664,2.6765873856887367e-11,6.1475476704872384e-09,False
EIF1,6.6370215,0.26275608,3.20085153505228e-11,7.222693411200426e-09,False
COX7C,6.612294,0.36982968,3.784093675520395e-11,8.427881013773735e-09,False
CXCR3,6.5868287,0.3438128,4.493205947807507e-11,9.878908530034214e-09,False
C9orf16,6.5616093,2.544174,5.3230204566237294e-11,1.1653564104356495e-08,False
RPLP2,6.527778,0.4954954,6.675247417352575e-11,1.4490638359829338e-08,False
HINT1,6.4967766,0.37340337,8.205913879733006e-11,1.7664345493075467e-08,False
RPL23A,6.448798,0.36883825,1.1274056027140146e-10,2.396808406959943e-08,False
CD2,6.419273,0.9167391,1.3692667785958497e-10,2.875348458171399e-08,False
COMMD6,6.3434916,0.45034936,2.246152089647728e-10,4.603985366860411e-08,False
TIPIN,6.3014183,2.1875317,2.949344532862386e-10,5.9041975691324524e-08,False
TOMM7,6.1492405,0.37855628,7.785493645442942e-10,1.5058198386118365e-07,False
RPS27A,6.135708,0.2346283,8.478079039512631e-10,1.627538098600171e-07,False
MYEOV2,6.091174,2.519503,1.1208558809337827e-09,2.0893403392130887e-07,False
SHFM1,6.089698,2.9975579,1.1312400764483977e-09,2.0967463445386132e-07,False
C9orf142,6.089452,2.8092573,1.1329798705134008e-09,2.0967463445386132e-07,False
ATP5J,6.034092,2.31915,1.5985897348994466e-09,2.8656531247772377e-07,False
RPS4X,5.9948483,0.27654415,2.0367576348207994e-09,3.5885995478171397e-07,False
PYURF,5.942072,2.5515254,2.814421550585691e-09,4.842687623228516e-07,False
RPL5,5.904796,0.26054138,3.5308299601460364e-09,6.013106581021471e-07,False
TMSB10,5.891756,0.25576586,3.821133915648571e-09,6.424499924584564e-07,False
LINC00493,5.8836365,3.0585966,4.013489224278725e-09,6.70409070164584e-07,False
ATP5I,5.8744097,2.1748025,4.24352405485026e-09,7.065398885887902e-07,False
CCDC109B,5.857925,3.299832,4.6868646847273755e-09,7.630690325944748e-07,False
RPL39,5.8382416,0.28365213,5.275467361804524e-09,8.508220841069566e-07,False
RARRES3,5.783128,2.5327835,7.33243544046068e-09,1.1643183288296946e-06,False
C14orf166,5.778822,2.5551429,7.522548357905547e-09,1.1871781224463945e-06,False
ATP5H,5.7125134,2.4851637,1.1131974939656283e-08,1.7355086263498073e-06,False
SLC26A3,5.693937,2.350213,1.2414293201203892e-08,1.9161838312407376e-06,False
SEPT6,5.6278744,2.3002648,1.8244395210984063e-08,2.736552900334426e-06,False
ATP5G3,5.616802,2.5041714,1.9452371741417415e-08,2.9092605271873348e-06,False
SEPW1,5.4987016,2.6736007,3.825981503432048e-08,5.363463116854823e-06,False
HNRNPA1,5.2797227,0.23908447,1.2937942949082672e-07,1.6682488442215673e-05,False
MTRNR2L10,5.2273154,2.1536915,1.7198877875991421e-07,2.1476890023398218e-05,False
RPS3A,5.0842414,0.1799499,3.6909835050552995e-07,4.296237994753056e-05,False
RPS12,5.071447,0.26844516,3.9480201921685577e-07,4.544021092767069e-05,False
RPS20,5.041061,0.6491616,4.629584945320287e-07,5.24631908076736e-05,False
ATPIF1,5.0331874,1.9553593,4.823912784436495e-07,5.4425584415282635e-05,False
RPL26,5.0240836,0.1738452,5.05841643140659e-07,5.657508881804484e-05,False
TRBC1,5.0163336,1.0157748,5.266691202459742e-07,5.864950843812745e-05,False
RP5-1171I10.5,4.95716,2.4513578,7.153109505089441e-07,7.897278493945096e-05,False
SEPT9,4.9319406,3.0313063,8.141672958051913e-07,8.893265187810081e-05,False
HIST1H4C,4.9305873,2.671156,8.19827954359533e-07,8.93612470251891e-05,False
FAM49B,4.9277577,2.4863992,8.317866188698162e-07,9.047306124231353e-05,False
LGALS1,4.9086895,0.85480356,9.168706806015823e-07,9.868444095311759e-05,False
SON,4.9074593,0.43969443,9.226386197931971e-07,9.909793676643091e-05,False
SELT,4.9029074,2.2087834,9.442852813793771e-07,0.00010121164407584625,False
WHSC1L1,4.895157,3.0879107,9.82272851314012e-07,0.00010506439429189874,False
C19orf60,4.8862996,3.0079677,1.0274890167269873e-06,0.00010967272807587145,False
RPL15,4.8516073,0.18384862,1.2246492610884283e-06,0.00012858317384587236,False
CCNI,4.812117,0.28081527,1.4933963435233414e-06,0.00015459206253840818,False
H2AFV,4.764754,2.5080543,1.8908422348921858e-06,0.00019111994361637166,False
SELK,4.7397804,2.4995644,2.139498009851754e-06,0.0002137337740016564,False
ATP5A1,4.7325225,1.7813047,2.2174695701902295e-06,0.00022109374892857931,False
SERF2,4.7287087,0.2456226,2.2595239578304685e-06,0.00022396047925661618,False
ATP5B,4.692171,2.014174,2.7032082347413828e-06,0.0002638514883939214,False
C8orf59,4.691925,2.6220424,2.7064620042646686e-06,0.0002638514883939214,False
RPL34,4.6380415,0.21366593,3.5172599860331568e-06,0.00033325228685346934,False
S100A10,4.631521,0.4224403,3.6298837884949813e-06,0.000343290921232518,False
RPS7,4.594,0.17352287,4.348297315459626e-06,0.00040748852511068645,False
FAM96B,4.5809593,2.5586953,4.62847416454265e-06,0.00043060712263542537,False
ATP5J2,4.553403,1.709245,5.2785100179139974e-06,0.0004875561640963004,False
RPS23,4.5427,0.19651836,5.553832181730947e-06,0.0005093289805449087,False
RPS6,4.514405,0.23672217,6.349484159001866e-06,0.00056877859542954,False
MINOS1,4.496567,1.7755741,6.905954385770016e-06,0.0006136399675977474,False
FTL,4.4660573,0.33769736,7.967429810164316e-06,0.0006983106113685412,False
CSTB,4.4222617,0.55875653,9.767313185895984e-06,0.000830592940145416,False
RP11-347P5.1,4.399256,4.132834,1.0862240100016126e-05,0.0009077230223694563,False
SEPT7,4.3782196,1.6315514,1.196526763143371e-05,0.0009896930692958222,False
HMGB2,4.3545995,0.88254124,1.3331037308781866e-05,0.0010886590594638246,False
EEF1D,4.3463573,0.19942087,1.3841714273683269e-05,0.0011250055544272618,False
NACA2,4.260119,1.8825325,2.043181828218228e-05,0.0015807160706491938,False
RGS10,4.2486777,0.5610745,2.1503586083290485e-05,0.001658645422508439,False
RPLP1,4.245479,0.19480059,2.1812663035634314e-05,0.0016724558686398124,False
RPS16,4.2405586,0.100696206,2.2296436518123346e-05,0.0017070045624768004,False
NEAT1,4.191596,0.7422508,2.769991685635831e-05,0.002068367666801048,False
C19orf70,4.162563,2.399309,3.146957155318267e-05,0.002332920053700493,False
N4BP2L2,4.152229,0.54863656,3.292527459396009e-05,0.0024303293074749766,False
C16orf13,4.139804,3.1377616,3.4760319128273645e-05,0.0025438817902011697,False
HN1,4.115937,2.5518973,3.856088748178776e-05,0.0027902679875710505,False
TCEB1,4.1101556,2.331871,3.9539287936436266e-05,0.002849043817582315,False
VIM,4.1048656,0.30669403,4.045501861639338e-05,0.0029068851924248696,False
RPL21,4.041755,0.19622965,5.3052565363488406e-05,0.003624765448633136,False
KLF6,3.96499,0.57809716,7.339908223997081e-05,0.004847542982133528,False
LINC00861,3.9429688,0.7211857,8.047908682496238e-05,0.005267796512685324,False
KIAA1551,3.9336193,3.5998616,8.367628705857154e-05,0.0054287233500496706,False
UBA52,3.926238,0.08355094,8.628479236657725e-05,0.00557555932079025,False
LDLR,3.8283126,2.9904013,0.00012902477086385478,0.007921320300004297,False
MT2A,3.802109,0.8063226,0.00014346954145808894,0.008743853929317598,True
