gene,tissue,n,rho,pvalue,padj
MT1E,CSF,19,0.2993126565800285,0.21317461239099056,0.8328226523927795
MT1E,PB,18,0.46662783887232634,0.050922615511188575,0.5086043639776944
MT1F,CSF,19,0.420991689076954,0.07265776628252776,0.5086043639776944
MT1F,PB,18,0.2359236948213551,0.345947472614014,0.8328226523927795
MT1X,CSF,19,-0.007105344963324119,0.9769690494988404,0.9856045488485987
MT1X,PB,18,0.13466440987590625,0.5942044938518923,0.8470060316934979
MT2A,CSF,19,0.017763362408310297,0.9424607537093601,0.9856045488485987
MT2A,PB,18,0.40712496008994914,0.0935745043908792,0.5240172245889235
SLC39A1,CSF,19,-0.06750077715157912,0.7836489124991699,0.9856045488485987
SLC39A1,PB,18,-0.01879038277338227,0.9410075392015242,0.9856045488485987
SLC39A4,CSF,19,-0.11635002377443245,0.6352545237701234,0.8470060316934979
SLC39A4,PB,18,-0.03444903508453416,0.8920571248674337,0.9856045488485987
SLC39A6,CSF,19,-0.2664504361246544,0.2701714656110195,0.8328226523927795
SLC39A6,PB,18,0.34970990161572557,0.15486284534179337,0.7226932782617025
SLC39A7,CSF,19,-0.4449722283281729,0.056259186263577725,0.5086043639776944
SLC39A7,PB,18,0.17955254650120833,0.4758986585101597,0.8328226523927795
SLC39A9,CSF,19,0.4414195558465108,0.05849303531445922,0.5086043639776944
SLC39A9,PB,18,0.12526921848921513,0.6204054249353196,0.8470060316934979
SLC39A10,CSF,19,0.004440840602077574,0.9856045488485987,0.9856045488485987
SLC39A10,PB,18,-0.04801986708753246,0.8499257201973309,0.9856045488485987
SLC39A11,CSF,19,0.2522397461980062,0.29749884174766017,0.8328226523927795
SLC39A11,PB,18,0.18059645665528512,0.47329449479658875,0.8328226523927795
SLC39A14,CSF,19,-0.18482004825552983,0.4487613308000777,0.8328226523927795
SLC39A14,PB,18,-0.16389389419005645,0.5157952665161317,0.8470060316934979
SLC30A1,CSF,19,-0.19006797776892018,0.43575173823691427,0.8328226523927795
SLC30A1,PB,18,0.12631312864329192,0.6174718804437151,0.8470060316934979
SLC30A9,CSF,19,0.2700031086063165,0.2635928053573431,0.8328226523927795
SLC30A9,PB,18,0.2150454917398193,0.391470965267552,0.8328226523927795
