dropped_patient,n_remaining,rho,pvalue,gene,tissue
10,17,0.736566910797804,0.0007457509769680632,SLC39A7,PB
16,17,0.7353268991634643,0.0007694193312522775,SLC39A7,PB
22,17,0.8394878764480022,2.5061478222630027e-05,SLC39A7,PB
24,17,0.7477270155068616,0.0005585942027281166,SLC39A7,PB
25,17,0.7822165589515728,0.00020686065173573063,SLC39A7,PB
27,17,0.7153815998006472,0.0012442462205856243,SLC39A7,PB
28,17,0.7154867130140284,0.0012412260636801564,SLC39A7,PB
29,17,0.7291268409917655,0.0008972966024470524,SLC39A7,PB
31,17,0.7354723940544339,0.0007666104384465084,SLC39A7,PB
6,17,0.736566910797804,0.0007457509769680632,SLC39A7,PB
7,17,0.7351845506601807,0.000772175724799871,SLC39A7,PB
8,17,0.740135288375064,0.0006809814850942472,SLC39A7,PB
9,17,0.7391994501053853,0.0006974982708046264,SLC39A7,PB
MS19270,17,0.6968865384989323,0.0018787827935966067,SLC39A7,PB
MS49131,17,0.703171241612854,0.0016387922409220928,SLC39A7,PB
MS60249,17,0.7056559456468217,0.0015511442025747267,SLC39A7,PB
MS71658,17,0.6907477214430155,0.0021403016759193624,SLC39A7,PB
MS74594,17,0.6968865384989323,0.0018787827935966067,SLC39A7,PB
