gene,tissue,n,rho,pvalue,padj
MT1E,CSF,19,0.32418136395166286,0.17572085933853654,0.6896300017435802
MT1E,PB,18,0.10856665602398644,0.6680593054326237,0.9046280363559646
MT1F,CSF,19,0.28954280725545783,0.22921891496916738,0.6896300017435802
MT1F,PB,18,0.3945980382410276,0.10512448900026823,0.6896300017435802
MT1X,CSF,19,0.029309547973711984,0.9051890524347298,0.9684336042234717
MT1X,PB,18,-0.26097753851919814,0.29555571503296296,0.6896300017435802
MT2A,CSF,19,-0.02575687549204993,0.9166405722859349,0.9684336042234717
MT2A,PB,18,0.20669421050720493,0.4105557056750966,0.770888144915201
SLC39A1,CSF,19,-0.1092446788111083,0.6561786324469665,0.9046280363559646
SLC39A1,PB,18,-0.0574150584742236,0.8209761536294408,0.9684336042234717
SLC39A4,CSF,19,0.02042786676955684,0.9338466897869191,0.9684336042234717
SLC39A4,PB,18,0.24323106589989268,0.3307673044097793,0.7124218864210631
SLC39A6,CSF,19,-0.27355578108797857,0.2571154559316339,0.6896300017435802
SLC39A6,PB,18,0.2933387532955787,0.23744466859283933,0.6896300017435802
SLC39A7,CSF,19,-0.3357275495170646,0.15995193347435602,0.6896300017435802
SLC39A7,PB,18,0.7338688383159853,0.0005266729044713388,0.014746841325197487
SLC39A9,CSF,19,0.2812285830426692,0.24347154841238414,0.6896300017435802
SLC39A9,PB,18,0.20565030035312817,0.41297579191885764,0.770888144915201
SLC39A10,CSF,19,-0.024868707371634415,0.9195059956031627,0.9684336042234717
SLC39A10,PB,18,0.005219550770383964,0.9836007450292038,0.9836007450292038
SLC39A11,CSF,19,0.29753632033919747,0.21603543107072617,0.6896300017435802
SLC39A11,PB,18,0.14308954378119831,0.5711064340251137,0.888387786261288
SLC39A14,CSF,19,-0.3638016199868219,0.12573433746586107,0.6896300017435802
SLC39A14,PB,18,-0.26240943615628753,0.29281751967086866,0.6896300017435802
SLC30A1,CSF,19,-0.17794608452526325,0.46610006296106304,0.8156751101818603
SLC30A1,PB,18,-0.10021102621722731,0.6923742236205952,0.9046280363559646
SLC30A9,CSF,19,0.1580939254339616,0.5180092808044492,0.8531917566190929
SLC30A9,PB,18,0.09395191386691133,0.7107791714225435,0.9046280363559646
