gene,scores,log2FC,pvalue,padj,is_zinc
RIPOR2,18.052444,2.2136078,7.547639245259596e-73,6.471849064835262e-70,False
ARHGAP15,17.231104,1.284208,1.5516158332882435e-66,1.2281158675540547e-63,False
PTPRC,16.898867,1.0023948,4.5863732610419105e-64,3.521787037822152e-61,False
MBNL1,16.885666,1.4107069,5.736519950792665e-64,4.340183506299721e-61,False
BTG1,16.62776,1.0274395,4.3869551367726684e-62,3.224286683952575e-59,False
LINC-PINT,16.52158,1.9877698,2.5659084851992923e-61,1.8334841631462943e-58,False
ZBTB20,16.073992,1.8250347,3.8825668496945406e-58,2.628293411619536e-55,False
HLA-B,15.916445,0.6304212,4.872888406826325e-57,3.1734223133468457e-54,False
MT-CO3,14.908358,0.42885622,2.908186122942403e-50,1.70542729250522e-47,False
EEF1G,14.677348,1.4642862,9.004381206069427e-49,5.20513937404337e-46,False
SEPTIN6,14.452248,1.9012516,2.4263647337314964e-47,1.3279958810746598e-44,False
IGKC,14.375117,3.1262705,7.414404223885564e-47,4.015329142215416e-44,False
CD74,14.338492,1.3976544,1.2575714600458057e-46,6.739535049628814e-44,False
KLF12,14.288331,1.8547256,2.5873751446689374e-46,1.3723224375559536e-43,False
SMCHD1,14.2747135,1.316515,3.1457704185134563e-46,1.6514652703232683e-43,False
CYRIB,14.204255,2.046328,8.621501811432524e-46,4.4803941938846516e-43,False
ANKRD44,14.155351,1.2674421,1.7307226549736342e-45,8.904221915308353e-43,False
STK17A,13.995367,1.340885,1.663682561113619e-44,8.474568356848858e-42,False
DOCK8,13.927743,1.3877751,4.297204967122753e-44,2.125794241812802e-41,False
APBB1IP,13.8696785,1.4033166,9.670929717496806e-44,4.73857135338834e-41,False
NOP53,13.759521,1.3961205,4.4647888944960595e-43,2.1670231985286157e-40,False
FOXP1,13.666603,1.1290334,1.6072553871121876e-42,7.656488440384058e-40,False
TRIR,13.641717,1.5328697,2.2617315431750048e-42,1.0675372883786023e-39,False
ARHGEF18,13.417972,1.7914513,4.745227016273794e-41,2.219385813938674e-38,False
ST6GAL1,13.356611,1.787252,1.0838691600428257e-40,5.02368473386336e-38,False
SSH2,13.254826,1.6375736,4.230998356237629e-40,1.9435393163545854e-37,False
RABGAP1L,13.232792,1.5058411,5.673970993255654e-40,2.583313802309884e-37,False
PACS1,13.166568,1.8334692,1.3667061218695115e-39,6.1679207506967214e-37,False
MAML2,13.124309,2.1918888,2.389540890598221e-39,1.0690182586043243e-36,False
P2RY8,13.0700445,1.5601099,4.883696486926126e-39,2.1474907423878235e-36,False
H3-3B,12.980591,1.2535309,1.5765960672040073e-38,6.816194492900149e-36,False
ELMO1,12.979732,1.6461296,1.5943852906150048e-38,6.835661202630064e-36,False
RESF1,12.977543,1.7669009,1.6405897697481187e-38,6.97562499785134e-36,False
STK17B,12.909042,1.1168528,4.00248859979155e-38,1.674146613675412e-35,False
RACK1,12.747118,1.4200866,3.2348271063009703e-37,1.3208363886108913e-34,False
RPL17,12.721337,0.54966116,4.500893802223222e-37,1.8233227113132309e-34,False
TALAM1,12.717502,1.9958835,4.727362044373072e-37,1.9001040817102017e-34,False
GAS5,12.664965,1.7725338,9.24616303009308e-37,3.576666132122021e-34,False
DOCK10,12.661483,1.4737172,9.665574134404666e-37,3.711003418409338e-34,False
ZFP36L2,12.611809,0.9110822,1.8177355198263056e-36,6.92732274252028e-34,False
MT-CO1,12.528388,0.29028627,5.221310726522299e-36,1.932561109770642e-33,False
ARID1B,12.491755,1.8183684,8.280729122808856e-36,3.021467744044468e-33,False
SH3KBP1,12.44907,1.3072225,1.414847965593782e-35,5.1261336713992175e-33,False
CHST11,12.442177,1.8561362,1.5424191848459154e-35,5.5492574980386474e-33,False
SIK3,12.413517,2.02405,2.207397817557872e-35,7.886541869285931e-33,False
CAMK1D,12.333782,2.1086133,5.958314039854321e-35,2.114092004982242e-32,False
PNRC1,12.306052,1.0131832,8.403438581517289e-35,2.961233617410284e-32,False
ACTB,12.252939,0.46999735,1.6201477177051318e-34,5.67029658370705e-32,False
FNBP1,12.191464,1.043094,3.451636923688049e-34,1.1918108486570653e-31,False
RUNX1,12.16283,1.8166476,4.902992092185195e-34,1.6816609143916261e-31,False
HLA-C,12.107521,0.5060996,9.636256803648188e-34,3.28321947042445e-31,False
FOXN3,12.101577,1.3244481,1.0360235426896783e-33,3.506667054230169e-31,False
IKZF1,12.0322075,1.1537937,2.4064053446251624e-33,7.885652367533461e-31,False
ZFAND3,12.027379,1.9819938,2.5513294440445205e-33,8.307645394759653e-31,False
AKAP13,11.994315,1.1431025,3.805508447323992e-33,1.2160608608566752e-30,False
PDE7A,11.8992,1.5774657,1.1948631340292659e-32,3.794649291329486e-30,False
PAN3,11.860529,1.7748836,1.897720037394585e-32,5.953286614870525e-30,False
ATP5F1E,11.781362,1.2327594,4.87001193206925e-32,1.5184992356430228e-29,False
ADK,11.723979,1.9298149,9.605234463019282e-32,2.959102411098299e-29,False
PRKCB,11.695142,1.263384,1.349622301492994e-31,4.133057629000688e-29,False
CARD11,11.671487,1.8833522,1.7828009346245417e-31,5.427310206187184e-29,False
LINC01619,11.667536,1.8709843,1.8675534706956328e-31,5.651875938844054e-29,False
CDC42SE2,11.6527405,0.8896125,2.221971069658694e-31,6.685144303614064e-29,False
PRKCH,11.650188,1.3038687,2.2895136724554624e-31,6.848308105842362e-29,False
SP100,11.561843,1.0292214,6.431384115502417e-31,1.9126118495628226e-28,False
MT-ND5,11.5426445,0.71376926,8.041470177140197e-31,2.377687113066143e-28,False
EPB41,11.484969,1.3903545,1.5699132154680295e-30,4.61536543482281e-28,False
TBC1D5,11.476907,1.6947584,1.7233541728746303e-30,5.0376775844348855e-28,False
YBX1,11.459455,0.7547967,2.1083949876378103e-30,6.128401430733902e-28,False
ARHGAP25,11.439919,1.4217087,2.64131808733432e-30,7.634299604335737e-28,False
PCED1B,11.415955,1.5160936,3.480624552537741e-30,1.000397608821015e-27,False
COTL1,11.37078,1.0138423,5.8462721016401654e-30,1.6617624700838852e-27,False
RCSD1,11.330355,0.9023349,9.282821297190878e-30,2.6240801653729467e-27,False
JAK1,11.30981,0.91991806,1.1734395632220406e-29,3.281039056991715e-27,False
SNHG6,11.294244,1.296374,1.40105175281852e-29,3.896287058324715e-27,False
FCHSD2,11.288059,2.1342561,1.5031842970855933e-29,4.157840092282775e-27,False
LRBA,11.278536,1.4714978,1.6751083065566755e-29,4.608608136669938e-27,False
NCOA3,11.260915,1.5988243,2.0462442175998435e-29,5.599743218461529e-27,False
CELF2,11.248449,0.9614326,2.356997906436421e-29,6.397655871173505e-27,False
CD79A,11.166234,1.9156985,5.965715663580762e-29,1.6069326673293353e-26,False
VOPP1,11.146602,1.4809656,7.439396925026489e-29,1.9934484010352228e-26,False
ENSG00000228655,11.141073,2.8972278,7.915987536957191e-29,2.110164387571884e-26,False
PITPNC1,11.10886,1.5396098,1.1360041926121997e-28,2.997186856487818e-26,False
SEPTIN7,11.073015,1.4464993,1.695971411975631e-28,4.429154172757476e-26,False
SRPK2,11.047012,1.331092,2.266318711072501e-28,5.888765911477679e-26,False
STAG1,11.027539,1.6183659,2.814606079320178e-28,7.27667605873691e-26,False
PIK3R5,10.961288,1.6537181,5.865811960914155e-28,1.5089214688255573e-25,False
TBC1D22A,10.930989,1.7147778,8.194999855073918e-28,2.0975937937504623e-25,False
FYB1,10.893133,1.2583162,1.242894446372419e-27,3.1655660137112977e-25,False
H3-3A,10.873793,1.0337411,1.536763590107877e-27,3.875657509013238e-25,False
ZCCHC7,10.823693,1.7307166,2.6584518209142053e-27,6.671806306458246e-25,False
FAF1,10.755865,2.3589494,5.560973408100132e-27,1.3888396111647356e-24,False
BIRC6,10.7065,1.3980007,9.488100894347762e-27,2.3468452635211717e-24,False
KANSL1,10.693247,1.4865731,1.0947042432195069e-26,2.6947532968974733e-24,False
UTRN,10.684893,1.3088,1.1978806466342186e-26,2.9346935003827277e-24,False
MCUB,10.641508,1.5509022,1.9101325236681896e-26,4.6574643638711385e-24,False
HLA-DRB1,10.638008,1.2551143,1.983235308234631e-26,4.812900478210155e-24,False
NSD3,10.599407,1.71077,2.9987348070943027e-26,7.243141237342145e-24,False
TNFAIP8,10.52435,0.8656133,6.671991352195942e-26,1.604021547139144e-23,False
TTC39C,10.415681,1.3810396,2.10287367370608e-25,4.985651832480664e-23,False
ASH1L,10.368833,1.1176995,3.4369900606848687e-25,8.074258659457313e-23,False
PIK3CD,10.313346,1.5672255,6.132837159321518e-25,1.4341918462398792e-22,False
DLEU2,10.309244,2.0926545,6.400295573232679e-25,1.489965640957805e-22,False
FLI1,10.296087,1.3978065,7.338559414450913e-25,1.6930681827563702e-22,False
COP1,10.277979,2.3625808,8.856534443763914e-25,2.0251154847234036e-22,False
PPP1R16B,10.25141,1.9252024,1.1663029356866259e-24,2.655042187398475e-22,False
EZR,10.238723,1.000966,1.3298028400624156e-24,3.0139073354859544e-22,False
ANKHD1,10.229597,1.626162,1.4612539078894165e-24,3.2973066251357323e-22,False
TUT4,10.128635,1.6778638,4.123633894187068e-24,9.264310768040887e-22,False
FUT8,10.117047,1.9411539,4.642082128839398e-24,1.0383732233240407e-21,False
INPP5D,10.09263,1.2303429,5.955169920930238e-24,1.3263271952035448e-21,False
PPP3CA,10.043931,1.404229,9.770167440383364e-24,2.1666188554863938e-21,False
TCF12,10.038535,1.8798329,1.031951879075012e-23,2.2786206126459746e-21,False
FTX,10.031536,1.5424093,1.1077943333139721e-23,2.4356326008691126e-21,False
BACH2,10.013366,2.0372527,1.3314442959342255e-23,2.9025485651366115e-21,False
PIAS1,10.006801,1.3872523,1.4227934636385777e-23,3.0886024522058034e-21,False
NFATC3,9.979638,1.2974151,1.8714887010518123e-23,4.045560953433347e-21,False
DOCK2,9.950207,1.3447592,2.5165998268510206e-23,5.417323342754448e-21,False
ATXN1,9.906512,1.3901402,3.90025208112822e-23,8.334270611682892e-21,False
PICALM,9.906415,1.6704881,3.9040569456841416e-23,8.334270611682892e-21,False
DPYD,9.9003725,1.4887613,4.147277451465218e-23,8.816906211693492e-21,False
EXOC4,9.893392,1.744441,4.4470285937087093e-23,9.415256258811756e-21,False
TNRC6B,9.892665,0.8036562,4.4794271122226036e-23,9.44498221596838e-21,False
SPIDR,9.887508,2.1004653,4.716190987521655e-23,9.903616078612821e-21,False
VPS13B,9.885958,1.7424476,4.789775902173083e-23,1.0017251651016292e-20,False
ATP5MG,9.841617,0.94180745,7.45038269759147e-23,1.545593907361637e-20,False
R3HDM2,9.820514,1.7952862,9.187429135317672e-23,1.8982925869631468e-20,False
TC2N,9.815163,1.209959,9.68818003430761e-23,1.9937499456202317e-20,False
SKAP1,9.768234,1.040409,1.5411479289165333e-22,3.158923452067642e-20,False
BCL2,9.726684,1.2304109,2.320351575619448e-22,4.7372003120027525e-20,False
SMYD3,9.703923,1.6880704,2.9012253540896414e-22,5.876466221149759e-20,False
GRB2,9.654452,1.0557003,4.706666810899566e-22,9.496023297535719e-20,False
ATP5MC2,9.592791,0.89271563,8.573394888100082e-22,1.7229844539178634e-19,False
CYTH1,9.563811,0.986113,1.1349775830159156e-21,2.2545299880696074e-19,False
LSM14A,9.511949,1.0897808,1.8712391298935723e-21,3.6885636304507475e-19,False
FBXO11,9.503435,1.7871957,2.0307905203623144e-21,3.9877904844122275e-19,False
CDK13,9.460573,1.7077652,3.062607885674205e-21,5.968373125082064e-19,False
CYBA,9.459341,0.5449459,3.098889372594805e-21,6.016289073255002e-19,False
KMT2C,9.448418,1.2830536,3.439911712894266e-21,6.653254804698653e-19,False
ETS1,9.444874,1.117697,3.558324226787695e-21,6.856504300366042e-19,False
ZHX2,9.43613,2.0745816,3.8680340766181596e-21,7.42547079006907e-19,False
SREBF2,9.434721,1.4295614,3.920360839201807e-21,7.497945147035486e-19,False
BTBD9,9.431274,2.1644013,4.051350807232216e-21,7.71977393816604e-19,False
RAP1B,9.420803,0.9857677,4.4765182950342945e-21,8.498446983133741e-19,False
USP15,9.414903,0.9896446,4.735217126108818e-21,8.956523922942885e-19,False
RASSF3,9.4095955,1.6526539,4.980489695545795e-21,9.385942632104033e-19,False
SEPTIN9,9.404209,1.1337425,5.242293720335304e-21,9.843267420577032e-19,False
CCM2,9.368639,1.2244012,7.347409979261151e-21,1.3745801767746463e-18,False
KDM4C,9.364909,1.627776,7.611603251116036e-21,1.4188469712442673e-18,False
PHC3,9.358893,1.5412148,8.057630050445715e-21,1.4965666095138308e-18,False
IQGAP2,9.354986,1.2424303,8.361063371074124e-21,1.5448962454468305e-18,False
