gene,scores,log2FC,pvalue,padj,is_zinc
ARHGAP15,41.221695,1.4051857,0.0,0.0,False
ANKRD44,37.81273,1.295643,0.0,0.0,False
MBNL1,37.203045,1.1830379,6.09287365753195e-303,7.836654098317595e-299,False
LINC01619,35.89537,2.2112412,3.607432775516793e-282,3.71190402869576e-278,False
RIPOR2,35.222736,1.3455938,8.973794932423953e-272,6.59548288119068e-268,False
RABGAP1L,34.498604,1.5896174,8.417991502700954e-261,4.812098075899541e-257,False
SSH2,33.608746,1.4382412,1.2500878112383521e-247,4.947270593276211e-244,False
ZBTB20,33.55299,1.4383727,8.14280140729482e-247,2.9923631914464563e-243,False
PRKCB,32.590252,1.2257373,5.636980969334201e-233,1.6111744272794777e-229,False
DOCK8,32.415833,1.2795517,1.6422483103803173e-230,4.446862688023503e-227,False
PACS1,32.338554,1.6939056,2.0095905127186547e-229,4.923305366588064e-226,False
TNRC6B,31.819075,1.1516675,3.526406586653059e-222,7.888111568266373e-219,False
PTPRC,31.564793,0.7837616,1.1237087940577586e-218,2.141206297654947e-215,False
LINC-PINT,31.461582,1.4899784,2.914822892277977e-217,5.35577886292562e-214,False
FOXP1,31.299547,0.948567,4.732837051949019e-215,8.396379332712866e-212,False
ARID1B,31.202963,1.652982,9.712731217550992e-214,1.6119374054211724e-210,False
SIK3,30.958168,1.8476541,1.9725560088266205e-210,2.8995446154889136e-207,False
ARHGEF18,30.857647,1.4412448,4.423292125367434e-209,6.150527926105506e-206,False
SMCHD1,30.783728,1.121981,4.327168404386374e-208,5.708311796637697e-205,False
UTRN,30.58439,1.3500099,1.9741618992461898e-205,2.5391670348104493e-202,False
AKAP13,30.33122,1.1605313,4.444359101907748e-202,5.576911879876824e-199,False
FCHSD2,29.94463,1.7138656,5.1685066344203827e-197,6.043393848355905e-194,False
CAMK1D,29.561026,1.5867065,4.738891127828852e-192,5.18737171796891e-189,False
FOXN3,28.78949,1.2893076,2.9041514033291355e-182,3.0492404367036196e-179,False
BPTF,28.763958,1.389647,6.06004312100748e-182,6.235541969791856e-179,False
ADK,28.762203,1.3636916,6.374368526026695e-182,6.430362978961204e-179,False
CELF2,28.544264,0.95449835,3.309424220091069e-179,3.274293409139334e-176,False
ASH1L,28.497564,1.3719538,1.2557238972582552e-178,1.218952510681938e-175,False
