gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
CLIC3,9,0.112085074,0.2242039,0.16175327327430827,0.00390625,0.31640625,False,
IRF7,9,0.1597169,0.25907198,0.143339069348596,0.0078125,0.31640625,False,
NUDT1,9,0.16454118,0.12989877,-0.04997843781253984,0.02734375,0.5537109375,False,
CISH,9,0.35813367,0.4256246,0.09736883769923342,0.02734375,0.5537109375,False,
CMC1,9,0.33216757,0.4293164,0.1401561434334153,0.0390625,0.6328125,False,
HIST1H4C,9,0.31549802,0.36424,0.07031979333249533,0.3125,0.934502180232558,False,
HOPX,9,0.32934687,0.42056358,0.1315978997655175,0.359375,0.934502180232558,False,
LST1,9,0.2948342,0.30619597,0.01639158046240886,0.42578125,0.934502180232558,False,
MT-ATP6,9,2.9240494,2.9494512,0.03664709514175244,0.49609375,0.934502180232558,False,
MT1X,9,0.358698,0.30530456,-0.07703047037783668,0.49609375,0.934502180232558,True,0.998046875
MTRNR2L1,9,0.59527344,0.5470264,-0.06960576436177565,0.3125,0.934502180232558,False,
MYBL1,9,0.121389136,0.13764502,0.023452285197918754,0.49609375,0.934502180232558,False,
NKG7,9,0.61042917,0.6278018,0.02506337567553883,0.359375,0.934502180232558,False,
LYZ,9,0.24852194,0.23662959,-0.017157032245736507,0.42578125,0.934502180232558,False,
RARRES3,9,0.44397467,0.5006134,0.08171239707793763,0.3125,0.934502180232558,False,
RGS1,9,0.1976775,0.1565842,-0.05928508548349851,0.12890625,0.934502180232558,False,
RPL27A,9,3.4092638,3.448791,0.05702566340778836,0.25,0.934502180232558,False,
RPS17,9,2.7677922,2.8076544,0.057508934656712855,0.25,0.934502180232558,False,
RPS20,9,2.4997907,2.533764,0.04901299170409011,0.359375,0.934502180232558,False,
SLC39A1,9,0.062591575,0.053699866,-0.012828024694121712,0.49609375,0.934502180232558,True,0.998046875
SLC39A10,9,0.12888414,0.15694115,0.040477707720082495,0.49609375,0.934502180232558,True,0.998046875
SLC39A11,9,0.03590021,0.01847415,-0.02514048839661944,0.1484375,0.934502180232558,True,0.998046875
SLC39A4,9,0.055182997,0.08615795,0.044687407682119054,0.1640625,0.934502180232558,True,0.998046875
SLC39A9,9,0.03391479,0.03722733,0.004778984034223813,0.4609375,0.934502180232558,True,0.998046875
STMN1,9,0.1341365,0.11941295,-0.021241587956981174,0.359375,0.934502180232558,False,
