gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
CST7,19,0.5919422,0.84659094,0.36738048166661236,3.8146973e-06,0.00016148885091145834,False,
GZMK,19,0.53259647,0.82079566,0.41578353689941755,3.8146973e-06,0.00016148885091145834,False,
HOPX,19,0.2762699,0.42215705,0.21047064829939657,3.8146973e-06,0.00016148885091145834,False,
IFNG-AS1,19,0.28327262,0.45811784,0.2522483298816883,7.6293945e-06,0.00019378662109375,False,
CCL5,19,1.0631622,1.5441707,0.693948620370226,7.6293945e-06,0.00019378662109375,False,
CXCR6,19,0.06532682,0.118741736,0.07706143800390768,1.1444092e-05,0.0002422332763671875,False,
CTSW,19,0.4213949,0.61756414,0.283012371489714,1.9073486e-05,0.00034604753766741075,False,
GZMA,19,0.6100018,0.91708356,0.44302533082211015,5.340576e-05,0.0008478164672851562,False,
ITM2C,19,0.24316695,0.39559576,0.21990828225681863,7.247925e-05,0.0010227627224392362,False,
CD8A,19,0.2237722,0.35952374,0.19584808138376258,9.536743e-05,0.0011010603471235795,False,
CD8B,19,0.23637408,0.36327067,0.183073081090685,9.536743e-05,0.0011010603471235795,False,
STMN1,19,0.13631167,0.22066171,0.12169139810618071,0.00012588501,0.0013322830200195312,False,
GZMH,19,0.104033425,0.18597002,0.11820952334813771,0.0002670288,0.002608666053185096,False,
NKG7,19,0.50383204,0.74556035,0.3487402280441723,0.0005226135,0.004148244857788086,False,
IRF7,19,0.20629637,0.2866203,0.11588292054943428,0.0005226135,0.004148244857788086,False,
XBP1,19,0.541478,0.76669,0.3249122897411065,0.0005226135,0.004148244857788086,False,
MZB1,19,0.14725201,0.3343472,0.2699212885821819,0.00064468384,0.004816167494829963,False,
TNFRSF17,19,0.040150356,0.1086216,0.09878311553077238,0.0011841932,0.008355140802450478,False,
TGFBR3,19,0.16021948,0.21460463,0.07846119405036439,0.001411438,0.008535839262462796,False,
CLIC3,19,0.11619069,0.20253734,0.12457189252981918,0.001411438,0.008535839262462796,False,
TMSB4X,19,4.2642,4.422316,0.22811297259020522,0.001411438,0.008535839262462796,False,
TSHZ2,19,0.22658293,0.14565125,-0.11675973109919559,0.0016937256,0.008962631225585938,False,
CCL4,19,0.22581,0.31648836,0.13082120461638969,0.0016937256,0.008962631225585938,False,
PTGDR,19,0.09002571,0.14501552,0.07933353305120328,0.0016937256,0.008962631225585938,False,
PRF1,19,0.1939285,0.27249697,0.11335034702849128,0.0020217896,0.010270690917968749,False,
MAN1A1,19,0.12692124,0.20348087,0.11045220288530802,0.0023994446,0.011720363910381611,False,
IGLL5,19,0.038863182,0.10880878,0.10091016470989655,0.0045140525,0.020762852260044644,False,
TRGC2,19,0.09987688,0.13821329,0.05530775020615113,0.0045776367,0.020762852260044644,False,
MT-ATP6,19,3.0680146,3.1439,0.10947934002503983,0.005329132,0.023337923247238684,False,
PECAM1,19,0.09176693,0.1284392,0.05290690464685335,0.0061798096,0.02616119384765625,False,
TBX21,19,0.070444524,0.09975502,0.042286105293904926,0.0064908345,0.026591483368388107,False,
KCNQ5,19,0.16822636,0.21723765,0.07070834513645713,0.0083606485,0.03318132384447381,False,
PDE4D,19,0.25881025,0.21753296,-0.05955054070510526,0.00945282,0.03637903386896307,False,
IGHG4,19,0.09383148,0.23671226,0.20613339632945604,0.009882128,0.03691265408826225,False,
