gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
MS4A7,18,0.24623306,0.07461891,-0.24758686911704006,7.6293945e-06,4.877362932477679e-05,False,
DUSP6,18,0.1591877,0.044566482,-0.1653634685877263,7.6293945e-06,4.877362932477679e-05,False,
TBX21,18,0.078862146,0.15111172,0.1042341056498691,7.6293945e-06,4.877362932477679e-05,False,
ITM2C,18,0.16435936,0.3472854,0.26390647484006285,7.6293945e-06,4.877362932477679e-05,False,
STEAP1B,18,0.15501702,0.052672315,-0.14765220075175303,7.6293945e-06,4.877362932477679e-05,False,
FCRL1,18,0.5314819,0.20804793,-0.46661662099758877,7.6293945e-06,4.877362932477679e-05,False,
NKG7,18,0.589442,0.9666369,0.5441771849010474,7.6293945e-06,4.877362932477679e-05,False,
ST6GALNAC3,18,0.15337637,0.04328092,-0.15883416874555112,7.6293945e-06,4.877362932477679e-05,False,
SLC8A1,18,0.18027431,0.048030645,-0.19078727690381087,7.6293945e-06,4.877362932477679e-05,False,
FTH1,18,2.8866303,2.6567435,-0.33165650340336605,7.6293945e-06,4.877362932477679e-05,False,
FTL,18,3.0621674,2.7498057,-0.45064270040280024,7.6293945e-06,4.877362932477679e-05,False,
GZMA,18,0.35141298,0.7289477,0.5446674644429945,7.6293945e-06,4.877362932477679e-05,False,
GZMK,18,0.13302395,0.5051765,0.5369026197391895,7.6293945e-06,4.877362932477679e-05,False,
RUNX2,18,0.10223013,0.21927889,0.16886565879640245,7.6293945e-06,4.877362932477679e-05,False,
HLA-DRA,18,2.2916021,1.420738,-1.2563913946888088,7.6293945e-06,4.877362932477679e-05,False,
KHDRBS2,18,0.26313967,0.08525516,-0.2566330920589297,7.6293945e-06,4.877362932477679e-05,False,
IGHD,18,0.60231227,0.18058778,-0.6084198422783171,7.6293945e-06,4.877362932477679e-05,False,
IGHM,18,1.0407299,0.57446676,-0.6726754843457271,7.6293945e-06,4.877362932477679e-05,False,
CTSW,18,0.3890192,0.68264204,0.42360823156572275,7.6293945e-06,4.877362932477679e-05,False,
CST7,18,0.3540117,0.6440537,0.41844213070778025,7.6293945e-06,4.877362932477679e-05,False,
STMN1,18,0.16909477,0.27351925,0.15065267457219966,7.6293945e-06,4.877362932477679e-05,False,
IRAK3,18,0.15167913,0.034220215,-0.1694573866045273,7.6293945e-06,4.877362932477679e-05,False,
MT-ND3,18,3.6518626,3.5069366,-0.20908412416814062,7.6293945e-06,4.877362932477679e-05,False,
XBP1,18,0.33318195,0.58787227,0.3674404606161008,7.6293945e-06,4.877362932477679e-05,False,
CLIC3,18,0.12360464,0.22912458,0.15223308764447208,7.6293945e-06,4.877362932477679e-05,False,
CCL5,18,0.57854295,1.182709,0.8716273366296108,7.6293945e-06,4.877362932477679e-05,False,
COL19A1,18,0.31618953,0.06808202,-0.3579434711462997,7.6293945e-06,4.877362932477679e-05,False,
CCSER1,18,0.2240572,0.085779876,-0.19949200679458104,7.6293945e-06,4.877362932477679e-05,False,
HOPX,18,0.24284066,0.43105677,0.2715384414482449,1.5258789e-05,6.828308105468751e-05,False,
AIF1,18,0.50478816,0.20513883,-0.43230259950177846,1.5258789e-05,6.828308105468751e-05,False,
LILRB2,18,0.16567868,0.046804108,-0.1714997558259329,1.5258789e-05,6.828308105468751e-05,False,
CD74,18,3.3216565,2.6426768,-0.979560552623394,1.5258789e-05,6.828308105468751e-05,False,
CD8A,18,0.19862218,0.41562405,0.31306752210871447,1.5258789e-05,6.828308105468751e-05,False,
FCN1,18,0.3650469,0.10402104,-0.37658069357451834,1.5258789e-05,6.828308105468751e-05,False,
CPVL,18,0.15138255,0.041260917,-0.15887194043524686,1.5258789e-05,6.828308105468751e-05,False,
SERPINA1,18,0.29422212,0.07506378,-0.31617864526715994,1.5258789e-05,6.828308105468751e-05,False,
TMSB4X,18,4.16212,4.331772,0.24475607767950094,1.5258789e-05,6.828308105468751e-05,False,
TCF7L2,18,0.18825379,0.06259774,-0.18128336513231255,1.5258789e-05,6.828308105468751e-05,False,
CSTA,18,0.18185472,0.045503035,-0.19671390654170004,1.5258789e-05,6.828308105468751e-05,False,
LYZ,18,0.55672336,0.25013402,-0.4423149134870586,1.5258789e-05,6.828308105468751e-05,False,
PRF1,18,0.29361242,0.44209272,0.21421178690361525,2.2888184e-05,8.906488833220108e-05,False,
MT1X,18,0.1202195,0.21632197,0.138646565715467,2.2888184e-05,8.906488833220108e-05,True,0.0003204345703125
S100A8,18,0.44734108,0.19177786,-0.3686998035770437,2.2888184e-05,8.906488833220108e-05,False,
PCDH9,18,0.17410487,0.069185585,-0.15136653156026847,2.2888184e-05,8.906488833220108e-05,False,
LST1,18,0.5053741,0.2306543,-0.39633685662708174,2.2888184e-05,8.906488833220108e-05,False,
TIGIT,18,0.07064626,0.17630267,0.15242997553296297,2.2888184e-05,8.906488833220108e-05,False,
