gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
MT1X,9,19,0.358698,0.20442018,-0.22257586215868894,0.00047829855,0.01865364340483211,True,0.006696179683785886
SLC30A9,9,19,0.048191216,0.14525734,0.14003680897154785,0.004323772,0.08431355701759458,True,0.03026640508323908
TMSB4X,9,19,4.812857,4.2642,-0.7915446471512492,0.00789887,0.10265049780718982,False,
FTL,9,19,3.1472545,2.8435838,-0.4381041332589963,0.010528256,0.10265049780718982,False,
SLC39A9,9,19,0.03391479,0.08387575,0.07207843417564001,0.013909399,0.10849330890923739,True,0.06021489854902029
SLC39A6,9,19,0.057981286,0.08340818,0.03668324911963851,0.018215371,0.11839991342276335,True,0.06021489854902029
SLC39A11,9,19,0.03590021,0.1223945,0.12478489304291276,0.03430993,0.12767390981316565,True,0.06021489854902029
MT2A,9,19,0.6219267,0.46183035,-0.2309702493559772,0.04910535,0.12767390981316565,True,0.06249771809036082
SLC39A1,9,19,0.062591575,0.088324636,0.037124959686090434,0.04910535,0.12767390981316565,True,0.06249771809036082
SLC39A14,9,19,0.0013981776,0.007150282,0.00829853239810698,0.048664026,0.12767390981316565,True,0.06249771809036082
SLC39A10,9,19,0.12888414,0.24265905,0.16414249925575713,0.034408513,0.12767390981316565,True,0.06021489854902029
FTH1,9,19,3.0827398,2.8661263,-0.3125072671256975,0.043709327,0.12767390981316565,False,
SLC30A1,9,19,0.009415688,0.022882974,0.019429186412068342,0.03303569,0.12767390981316565,True,0.06021489854902029
CD74,9,19,1.4740162,2.043211,0.8211745061724973,0.043709327,0.12767390981316565,False,
MT1F,9,19,0.15155546,0.096374445,-0.07960938247427153,0.023646345,0.12767390981316565,True,0.06021489854902029
RPL27A,9,19,3.4092638,2.5204344,-1.2823098681044374,0.055049688,0.13418361358344555,False,
H2AFZ,9,19,0.64507747,0.3024855,-0.49425573783943716,0.06775443,0.15543663940008948,False,
HLA-DRA,9,19,0.8026838,1.083243,0.4047614267795964,0.09442095,0.18412084691226485,False,
MT-CYB,9,19,2.9417214,3.24497,0.43749531467494196,0.09442095,0.18412084691226485,False,
CCL5,9,19,1.2488754,1.0631622,-0.26792747221289803,0.09442095,0.18412084691226485,False,
NKG7,9,19,0.61042917,0.50383204,-0.15378714437549978,0.15370534,0.28545278097902027,False,
RPS20,9,19,2.4997907,1.7666048,-1.057763643710476,0.16839692,0.2855426034201746,False,
AES,9,19,0.55976254,0.29232794,-0.38582656687622835,0.1643999,0.2855426034201746,False,
MT-ND3,9,19,3.0466979,3.4040399,0.5155355381916569,0.18411827,0.2991921901702881,False,
RPS17,9,19,2.7677922,1.9192067,-1.224250073017011,0.20090082,0.3134052836894989,False,
MT-ATP6,9,19,2.9240494,3.0680146,0.20769794400218639,0.32519522,0.48779283463954926,False,
HOPX,9,19,0.32934687,0.2762699,-0.07657385643979593,0.34997076,0.5055133170551724,False,
SLC39A7,9,19,0.06826311,0.064367,-0.0056209089781491745,0.4030074,0.5606129199266433,True,0.4701752861340841
CMC1,9,19,0.33216757,0.34515297,0.018733984167160312,0.4312407,0.5606129199266433,False,
C1orf56,9,19,0.3040334,0.23878196,-0.09413792862446199,0.4312407,0.5606129199266433,False,
GZMA,9,19,0.68731546,0.6100018,-0.11154003614767799,0.4605883,0.5794498045598308,False,
MT1E,9,19,0.08136761,0.06128387,-0.02897471261061761,0.640223,0.6935287327379794,True,0.6894709513737605
GZMK,9,19,0.57999116,0.53259647,-0.06837608840810658,0.65796316,0.6935287327379794,False,
CTSW,9,19,0.42737037,0.4213949,-0.00862075936148643,0.5884312,0.6935287327379794,False,
CST7,9,19,0.6378984,0.5919422,-0.06630077376014507,0.6227766,0.6935287327379794,False,
MT-ND4L,9,19,1.5653809,2.3622487,1.1496371197666901,0.65796316,0.6935287327379794,False,
XBP1,9,19,0.5347317,0.541478,0.009732842177628067,0.6227766,0.6935287327379794,False,
DUSP2,9,19,0.37335643,0.4395408,0.09548386485011433,0.76787823,0.7880855563439821,False,
SLC39A4,9,19,0.055182997,0.055977464,0.0011461730022173488,0.8440094,0.8440093994140625,True,0.8440093994140625
