gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
SLC39A9,8,18,0.03709303,0.10963077,0.10464984146158289,0.0021302267,0.14850138686597347,True,0.023896774897972744
SLC39A14,8,18,0.0024223882,0.0077143097,0.007634628980234294,0.004948553,0.14850138686597347,True,0.023896774897972744
SLC30A9,8,18,0.070506305,0.1619127,0.1318715456608716,0.0051207375,0.14850138686597347,True,0.023896774897972744
SLC39A11,8,18,0.04726712,0.19958542,0.2197488543394688,0.0132883135,0.2392559798265045,True,0.0465090973302722
MT1X,8,18,0.15500408,0.1202195,-0.0501835486215251,0.030250756,0.2392559798265045,True,0.07036661356687546
SLC39A10,8,18,0.10231317,0.1872181,0.12249192360136868,0.02590453,0.2392559798265045,True,0.07036661356687546
PECAM1,8,18,0.19884795,0.3361938,0.19814817735640178,0.02590453,0.2392559798265045,False,
FCRL1,8,18,0.26396146,0.5314819,0.38595043738051227,0.022075498,0.2392559798265045,False,
TALAM1,8,18,0.32983965,0.9946658,0.9591413964517544,0.029757833,0.2392559798265045,False,
NAMPT,8,18,0.1457051,0.28376082,0.1991722910466271,0.02590453,0.2392559798265045,False,
PDE4D,8,18,0.13579354,0.381952,0.3551315763025241,0.02590453,0.2392559798265045,False,
SLC39A6,8,18,0.04955533,0.07273233,0.03343733993303713,0.035183307,0.25507897417992353,True,0.07036661356687546
NCOA4,8,18,0.21952093,0.29287755,0.10583124403493792,0.079968,0.5351704479410098,False,
IFI30,8,18,0.30871806,0.5299281,0.31913861717332836,0.10207166,0.5550146391615272,False,
TBXAS1,8,18,0.1511307,0.26477635,0.16395600556872778,0.10207166,0.5550146391615272,False,
ENSG00000289901,8,18,0.3825002,0.8914958,0.7343255032612401,0.097202435,0.5550146391615272,False,
HBB,8,18,1.3804262,0.39456,-1.4223042618547164,0.1147186,0.5870893115506453,False,
AES,8,18,0.46751413,0.21015903,-0.3712849177978253,0.12802765,0.6188002973794937,False,
CTSA,8,18,0.18422282,0.22897655,0.06456598476089191,0.14350355,0.6570951875887419,False,
IFITM3,8,18,0.3637697,0.46195596,0.14165282245254887,0.1960884,0.7236743867397307,False,
RPS20,8,18,2.8709261,2.342673,-0.7621080966295708,0.2162705,0.7236743867397307,False,
IGHM,8,18,0.84266394,1.0407299,0.2857487444519294,0.1772428,0.7236743867397307,False,
RPL27A,8,18,3.2305698,2.665839,-0.8147344438282885,0.1960884,0.7236743867397307,False,
CMC1,8,18,0.20444924,0.2416901,0.053727208146890554,0.2162705,0.7236743867397307,False,
PLD4,8,18,0.11685911,0.13750666,0.029788126055704623,0.1960884,0.7236743867397307,False,
ACTN1,8,18,0.12767589,0.15562443,0.040321225005628694,0.2162705,0.7236743867397307,False,
MT1F,8,18,0.0769953,0.065820664,-0.01612158919838561,0.23785697,0.7664280119869444,True,0.4057373404502868
FTL,8,18,3.1599252,3.0621674,-0.14103471680534796,0.26083115,0.7824934422969818,False,
SLC39A1,8,18,0.08320341,0.10155718,0.026478889632380855,0.26083115,0.7824934422969818,True,0.4057373404502868
FHIT,8,18,0.19822085,0.31314534,0.16580099245152127,0.28524685,0.8005314796201645,False,
H2AFZ,8,18,0.4151376,0.21552955,-0.28797353352132204,0.28102,0.8005314796201645,False,
RPS17,8,18,2.8243227,2.2682974,-0.8021748948010794,0.3383425,0.8029887619856242,False,
MNDA,8,18,0.2001352,0.26498887,0.09356406551419551,0.3383425,0.8029887619856242,False,
MTRNR2L10,8,18,0.54403466,0.3051195,-0.3446816954577863,0.34150097,0.8029887619856242,False,
CD8B,8,18,0.23839933,0.18313296,-0.07973251130337362,0.31106943,0.8029887619856242,False,
KLRD1,8,18,0.1929978,0.2238444,0.04450223073726036,0.31106943,0.8029887619856242,False,
NELL2,8,18,0.113132894,0.14885736,0.0515395028365902,0.3383425,0.8029887619856242,False,
CD74,8,18,3.1057086,3.3216565,0.31154691600327955,0.36701092,0.8402618459965053,False,
MT2A,8,18,0.40216446,0.38019073,-0.031701390050890656,0.49543518,0.8872155833244324,True,0.6755411624908447
TMSB4X,8,18,4.3443766,4.16212,-0.2629408352511309,0.42854938,0.8872155833244324,False,
NUDT1,8,18,0.13957119,0.14939474,0.01417238082916925,0.7236191,0.8872155833244324,False,
STMN1,8,18,0.18243326,0.16909477,-0.019243375281184597,0.46135667,0.8872155833244324,False,
SLC39A4,8,18,0.055132695,0.060336657,0.0075077306407650484,0.53078234,0.8872155833244324,True,0.6755411624908447
PPBP,8,18,0.17577422,0.25624445,0.11609400775553702,0.42854938,0.8872155833244324,False,
PRF1,8,18,0.27505836,0.29361242,0.02676785273257741,0.64356273,0.8872155833244324,False,
SERPINA1,8,18,0.24432856,0.29422212,0.07198118873549277,0.42854938,0.8872155833244324,False,
NKG7,8,18,0.5598365,0.589442,0.04271171935912766,0.68317807,0.8872155833244324,False,
S100A8,8,18,0.42786485,0.44734108,0.028098267523989383,0.764841,0.8872155833244324,False,
LYZ,8,18,0.495945,0.55672336,0.08768462361613681,0.567283,0.8872155833244324,False,
GZMA,8,18,0.3195579,0.35141298,0.04595716096789701,0.42854938,0.8872155833244324,False,
CFD,8,18,0.26095223,0.2799743,0.027443056619864795,0.64356273,0.8872155833244324,False,
FCGR3A,8,18,0.34676787,0.37087104,0.034773516143253004,0.764841,0.8872155833244324,False,
FCN1,8,18,0.32567394,0.3650469,0.056803160853234606,0.7236191,0.8872155833244324,False,
FOS,8,18,0.34656286,0.4482575,0.14671435785876677,0.7236191,0.8872155833244324,False,
