gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
FCGR3A,18,0.20351493,0.0375642,-0.23941629584201837,7.6293945e-06,0.0002593994140625,False,
FCRL1,18,0.20804791,0.04496096,-0.23528473512250977,7.6293945e-06,0.0002593994140625,False,
IGHD,18,0.18058778,0.019798901,-0.23196931807267063,7.6293945e-06,0.0002593994140625,False,
GNLY,18,0.73915195,0.1932784,-0.7875290242362535,7.6293945e-06,0.0002593994140625,False,
FGFBP2,18,0.22411098,0.027860902,-0.28312901872266166,7.6293945e-06,0.0002593994140625,False,
CXCR6,18,0.027270798,0.117260404,0.12982755335319845,1.5258789e-05,0.0004323323567708333,False,
RPS20,18,2.3890502,1.6843675,-1.0166422479238768,2.2888184e-05,0.0005558558872767857,False,
IGHM,18,0.57446676,0.21259768,-0.5220667513408229,3.8146973e-05,0.0007205539279513889,False,
S100A9,18,0.26369682,0.016774632,-0.35623342615093945,3.8146973e-05,0.0007205539279513889,False,
GZMB,18,0.36927804,0.0817741,-0.41478053407958565,5.340576e-05,0.00090789794921875,False,
CFD,18,0.11103938,0.05619824,-0.07911903843883031,0.00010681152,0.0016507235440340908,False,
IGLC2,18,0.36952928,0.16425675,-0.2961456546402015,0.0001449585,0.001895611102764423,False,
KLRD1,18,0.33186418,0.13153414,-0.28901514644627263,0.0001449585,0.001895611102764423,False,
CISH,18,0.111195296,0.27613693,0.23796048420029606,0.00025177002,0.0030572073800223215,False,
PPBP,18,0.19865002,0.00013187696,-0.2864011391401461,0.00029305238,0.0031136815050558653,False,
PF4,18,0.119612746,0.0,-0.17256471539573814,0.00029305238,0.0031136815050558653,False,
S100A8,18,0.19177784,0.014846932,-0.255257338341184,0.00035153257,0.0033200297912117094,False,
MYOM2,18,0.09869698,0.016808033,-0.1181407732834553,0.00035153257,0.0033200297912117094,False,
ST8SIA1,18,0.078457594,0.16303697,0.12202224973077803,0.0004196167,0.0037544652035361842,False,
FHIT,18,0.30709502,0.19100711,-0.16747945713261686,0.0005340576,0.00453948974609375,False,
RPS17,18,2.2906353,1.8801618,-0.5921882056812107,0.0006713867,0.005187988281249999,False,
GZMK,18,0.5051766,0.81413674,0.4457352614517554,0.0006713867,0.005187988281249999,False,
PPM1L,18,0.09479331,0.0528781,-0.0604708682399927,0.0008392334,0.006203029466711957,False,
TBXAS1,18,0.16794582,0.09313843,-0.10792425139810695,0.001045227,0.0074036916097005205,False,
SPON2,18,0.19925632,0.106327266,-0.13406828006034224,0.0012893677,0.0087677001953125,False,
LINC01934,18,0.23539442,0.3960713,0.23180776187001637,0.0018714329,0.012236291882940209,False,
NAMPT,18,0.18664902,0.13050064,-0.0810049894392762,0.0023345947,0.013685555293642241,False,
S1PR5,18,0.099012546,0.040491797,-0.0844275946762656,0.0023345947,0.013685555293642241,False,
FOS,18,0.43536595,0.15636665,-0.40251090480606844,0.0023345947,0.013685555293642241,False,
PECAM1,18,0.19864276,0.13138613,-0.09703080579896257,0.0028076172,0.015396610383064517,False,
CTSA,18,0.29554844,0.22323865,-0.10432097838638617,0.0028076172,0.015396610383064517,False,
ENSG00000287092,18,0.14576156,0.053842805,-0.1326107378431956,0.003728595,0.01980816145078279,False,
GZMH,18,0.32619438,0.19037056,-0.19595234586584814,0.004005432,0.020634044300426136,False,
HLA-DRA,18,1.4207379,0.95003635,-0.6790787424026512,0.0047454834,0.023049490792410716,False,
FTH1,18,2.6567435,2.890194,0.33679775276825885,0.0047454834,0.023049490792410716,False,
FOSB,18,0.19356102,0.031531982,-0.23375847508742778,0.005385667,0.025052522358141448,False,
CCL5,18,1.1827091,1.5487261,0.5280508876775943,0.0055999756,0.025052522358141448,False,
TBX21,18,0.15111172,0.09850018,-0.07590241467299616,0.0055999756,0.025052522358141448,False,
ENSG00000249806,18,0.076862015,0.16177103,0.12249781400716074,0.005771587,0.025158200341348465,False,
CD74,18,2.6426766,2.0820138,-0.8088653638849443,0.006576538,0.027950286865234375,False,
