gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
ACTN1,8,0.12767589,0.048722386,-0.1139058294929468,0.0078125,0.021341463414634148,False,
GZMB,8,0.20483132,0.03259091,-0.24849037997334783,0.0078125,0.021341463414634148,False,
GZMK,8,0.10954198,0.5815363,0.6809438512555956,0.0078125,0.021341463414634148,False,
HLA-DRA,8,2.1919093,0.8002037,-2.0078068139662864,0.0078125,0.021341463414634148,False,
IFI30,8,0.30871806,0.19918102,-0.15802853751541565,0.0078125,0.021341463414634148,False,
IGHA1,8,0.21267831,0.04062519,-0.24822019522884234,0.0078125,0.021341463414634148,False,
IGHD,8,0.6030409,0.0114396205,-0.8535001932460199,0.0078125,0.021341463414634148,False,
IGHM,8,0.84266394,0.045198772,-1.1504990108214892,0.0078125,0.021341463414634148,False,
IGKC,8,1.0500686,0.08478741,-1.392606383695052,0.0078125,0.021341463414634148,False,
IGLC2,8,0.5356064,0.021623,-0.7415212573733401,0.0078125,0.021341463414634148,False,
IGLC3,8,0.40849894,0.01706325,-0.5647223183644439,0.0078125,0.021341463414634148,False,
LST1,8,0.50586784,0.29055583,-0.3106295605435774,0.0078125,0.021341463414634148,False,
MNDA,8,0.2001352,0.092414826,-0.1554076509032546,0.0078125,0.021341463414634148,False,
GZMA,8,0.3195579,0.67923903,0.518910181766887,0.0078125,0.021341463414634148,False,
MT-CYB,8,3.5013585,2.9854846,-0.7442487302333733,0.0078125,0.021341463414634148,False,
MT1X,8,0.15500408,0.34330964,0.27166749292988607,0.0078125,0.021341463414634148,True,0.0546875
NCOA4,8,0.21952093,0.13128336,-0.1272999028356364,0.0078125,0.021341463414634148,False,
PECAM1,8,0.19884795,0.05477508,-0.20785320134025279,0.0078125,0.021341463414634148,False,
PPBP,8,0.17577422,0.0,-0.2535885906798622,0.0078125,0.021341463414634148,False,
RPS20,8,2.8709261,2.3933716,-0.6889655950441269,0.0078125,0.021341463414634148,False,
S100A8,8,0.42786485,0.06435186,-0.524438392096221,0.0078125,0.021341463414634148,False,
S100A9,8,0.5449817,0.07963562,-0.6713525078039649,0.0078125,0.021341463414634148,False,
SERPINA1,8,0.24432856,0.091310486,-0.22075841399786486,0.0078125,0.021341463414634148,False,
STMN1,8,0.18243326,0.12856743,-0.07771197312971193,0.0078125,0.021341463414634148,False,
TBXAS1,8,0.1511307,0.07377145,-0.11160581951163302,0.0078125,0.021341463414634148,False,
TIGIT,8,0.052760318,0.18379632,0.1890449851614138,0.0078125,0.021341463414634148,False,
TMSB4X,8,4.3443766,4.766081,0.6083906912189959,0.0078125,0.021341463414634148,False,
MT1F,8,0.0769953,0.14720441,0.10129034310854447,0.0078125,0.021341463414634148,True,0.0546875
GNLY,8,0.508215,0.13635403,-0.5364819931708418,0.0078125,0.021341463414634148,False,
JCHAIN,8,0.3713069,0.039385587,-0.47886122679540544,0.0078125,0.021341463414634148,False,
XBP1,8,0.32627156,0.5093299,0.26409737558252055,0.0078125,0.021341463414634148,False,
DUSP2,8,0.09377228,0.38564137,0.42107810879755453,0.0078125,0.021341463414634148,False,
CISH,8,0.06950616,0.36477393,0.4259813341736532,0.0078125,0.021341463414634148,False,
CFD,8,0.26095223,0.12821865,-0.19149408260319428,0.0078125,0.021341463414634148,False,
FCGR3A,8,0.34676787,0.058507897,-0.41587124805135756,0.0078125,0.021341463414634148,False,
CD74,8,3.1057086,1.5182788,-2.290177045233341,0.0078125,0.021341463414634148,False,
CCL5,8,0.52696973,1.2215054,1.00200317067376,0.0078125,0.021341463414634148,False,
FCN1,8,0.32567394,0.06769255,-0.3721884716497958,0.0078125,0.021341463414634148,False,
CST7,8,0.32808062,0.6441489,0.45599011397041483,0.0078125,0.021341463414634148,False,
FCRL1,8,0.26396146,0.019581638,-0.35256555215598834,0.0078125,0.021341463414634148,False,
FGFBP2,8,0.21218175,0.029213363,-0.26396757167678186,0.0078125,0.021341463414634148,False,
MS4A6A,8,0.092776716,0.18857141,0.1382025280087706,0.015625,0.03723404255319149,False,
TYROBP,8,0.6594893,0.47339934,-0.2684710233809499,0.015625,0.03723404255319149,False,
AIF1,8,0.5404234,0.2947405,-0.3544454945125697,0.015625,0.03723404255319149,False,
FHIT,8,0.19822085,0.073772475,-0.17954105189208414,0.015625,0.03723404255319149,False,
RGS1,8,0.040938843,0.18588872,0.20911847770265046,0.015625,0.03723404255319149,False,
LYZ,8,0.495945,0.251612,-0.35249800596986197,0.015625,0.03723404255319149,False,
HBB,8,1.3804262,0.46195346,-1.3250760199725633,0.0234375,0.05357142857142857,False,
HBA1,8,0.29250762,0.024851417,-0.3861462826241823,0.0234375,0.05357142857142857,False,
MT1E,8,0.027023498,0.06970005,0.061569246188643706,0.0390625,0.08254716981132076,True,0.18229166666666669
MT-ND3,8,3.660027,3.136817,-0.7548325425674706,0.0390625,0.08254716981132076,False,
HBA2,8,0.60581344,0.063841164,-0.7819007200041171,0.0390625,0.08254716981132076,False,
GZMH,8,0.21818565,0.13552186,-0.11925863901623221,0.0390625,0.08254716981132076,False,
SPON2,8,0.18482515,0.04974864,-0.19487420812542056,0.0546875,0.1074561403508772,False,
MT-ATP6,8,3.463219,2.952077,-0.737422050890025,0.0546875,0.1074561403508772,False,
MT2A,8,0.40216446,0.57480896,0.24907335816411003,0.0546875,0.1074561403508772,True,0.19140625
IFITM3,8,0.3637697,0.25578594,-0.15578764657033597,0.0546875,0.1074561403508772,False,
C9orf142,8,0.19288795,0.37893772,0.2684130867254405,0.0625,0.109375,False,
LINC00152,8,0.07651346,0.17830151,0.14684911701463346,0.0625,0.109375,False,
FYB,8,0.3392794,0.48913848,0.2162009382434945,0.0625,0.109375,False,
MARCH1,8,0.24102391,0.049833365,-0.2758296450634169,0.0625,0.109375,False,
H2AFZ,8,0.4151376,0.59805524,0.2638943930588397,0.0625,0.109375,False,
HIST1H4C,8,0.18106782,0.30046466,0.17225322256827855,0.0625,0.109375,False,
FAM26F,8,0.23149896,0.040032763,-0.27622733344570577,0.0625,0.109375,False,
NAMPT,8,0.1457051,0.10434128,-0.0596753786118003,0.078125,0.13059701492537315,False,
C1orf56,8,0.16477554,0.286974,0.17629513733102492,0.078125,0.13059701492537315,False,
CCL4,8,0.14937514,0.3238865,0.25176669246794703,0.078125,0.13059701492537315,False,
RHOB,8,0.08526033,0.1496207,0.09285237980709385,0.109375,0.175,False,
HOPX,8,0.23762211,0.31994763,0.11877061674657763,0.109375,0.175,False,
FOS,8,0.34656286,0.19363579,-0.22062712674176246,0.109375,0.175,False,
VIMP,8,0.12491715,0.22292383,0.14139375208685542,0.125,0.19444444444444442,False,
RARRES3,8,0.3048031,0.41580576,0.16014297821644846,0.125,0.19444444444444442,False,
CD68,8,0.22452882,0.15276173,-0.10353802736833323,0.1484375,0.22466216216216217,False,
PRF1,8,0.27505836,0.18009034,-0.13700989281853107,0.1484375,0.22466216216216217,False,
SLC30A1,8,0.018695045,0.008185422,-0.01516218129331851,0.1953125,0.27689873417721517,True,0.38888888888888884
SLC30A9,8,0.070506305,0.046035063,-0.03530453945008112,0.1953125,0.27689873417721517,True,0.38888888888888884
SLC39A1,8,0.08320341,0.062626585,-0.029686086599164583,0.1953125,0.27689873417721517,True,0.38888888888888884
KLRD1,8,0.1929978,0.11381263,-0.11424004552815162,0.1953125,0.27689873417721517,False,
CMC1,8,0.20444924,0.31579372,0.16063613846779756,0.1953125,0.27689873417721517,False,
TALAM1,8,0.32983965,0.25384656,-0.10963485533708252,0.25,0.32941176470588235,False,
SLC39A14,8,0.0024223882,0.00090437493,-0.00219003009921954,0.25,0.32941176470588235,True,0.38888888888888884
SLC39A10,8,0.10231317,0.13147977,0.04207851148539784,0.25,0.32941176470588235,True,0.38888888888888884
EGR1,8,0.04035663,0.104706466,0.09283719158923953,0.25,0.32941176470588235,False,
MT-ND4L,8,1.7962081,1.6987296,-0.1406317614543764,0.25,0.32941176470588235,False,
PDE4D,8,0.13579354,0.09666164,-0.056455390435358646,0.25,0.32941176470588235,False,
ITM2C,8,0.157561,0.21158741,0.07794363376042412,0.3125,0.39772727272727276,False,
RPS17,8,2.8243227,2.6450396,-0.258650900008009,0.3125,0.39772727272727276,False,
IRF7,8,0.20352262,0.15897429,-0.0642696586534553,0.3125,0.39772727272727276,False,
PLD4,8,0.11685911,0.07925877,-0.05424582183056736,0.3828125,0.4817415730337079,False,
AES,8,0.46751413,0.5188547,0.07406875714732826,0.4375,0.5377604166666667,False,
CD8A,8,0.18839395,0.21272445,0.03510148705844838,0.4609375,0.5377604166666667,False,
SLC39A7,8,0.07737988,0.0707054,-0.009629244128314582,0.4609375,0.5377604166666667,True,0.5866477272727273
SLC39A11,8,0.04726712,0.03904149,-0.011867077006883608,0.4609375,0.5377604166666667,True,0.5866477272727273
MTRNR2L10,8,0.54403466,0.48120272,-0.0906473257468877,0.4375,0.5377604166666667,False,
RPL27A,8,3.2305698,3.2932796,0.09047112952107876,0.4609375,0.5377604166666667,False,
FTH1,8,2.9488702,3.0748553,0.18175814473785068,0.4609375,0.5377604166666667,False,
ENSG00000289901,8,0.3825002,0.29777405,-0.12223400336965287,0.5,0.5773195876288659,False,
SLC39A4,8,0.055132695,0.052891977,-0.0032326718969427825,0.546875,0.625,True,0.6380208333333334
NUDT1,8,0.13957119,0.16613498,0.03832345303537495,0.640625,0.7174999999999999,False,
NKG7,8,0.5598365,0.5938579,0.04908247269503868,0.640625,0.7174999999999999,False,
CD8B,8,0.23839933,0.2513528,0.01868789281672908,0.7421875,0.8149509803921569,False,
CST3,8,0.4817363,0.54065424,0.08500061937110912,0.7421875,0.8149509803921569,False,
MTRNR2L1,8,0.47159284,0.48013815,0.012328275357461428,0.8125,0.875,False,
C10orf54,8,0.2675214,0.27446356,0.01001540967299566,0.8125,0.875,False,
CTSW,8,0.40556875,0.42853528,0.03313370456293884,0.84375,0.8915094339622642,False,
SLC39A6,8,0.04955533,0.058830895,0.013381808829899956,0.84375,0.8915094339622642,True,0.9086538461538461
SLC39A9,8,0.03709303,0.035904303,-0.001714967998741212,0.9453125,0.9713302752293578,True,0.9453125
NELL2,8,0.113132894,0.113804996,0.0009696381855645151,0.9453125,0.9713302752293578,False,
FTL,8,3.1599252,3.1338396,-0.03763358762710151,0.9453125,0.9713302752293578,False,
HMHA1,8,0.13091399,0.12768601,-0.004656989215725848,1.0,1.0,False,
RP11-347P5.1,8,0.16485819,0.17708558,0.017640389485986428,1.0,1.0,False,
CTSA,8,0.18422282,0.18715227,0.00422630166230266,1.0,1.0,False,
