gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
DMXL2,18,0.12720649,0.021799164,-0.1520706285329008,7.6293945e-06,4.018147786458333e-05,False,
PF4,18,0.15809998,0.00036119216,-0.2275689699676948,7.6293945e-06,4.018147786458333e-05,False,
PECAM1,18,0.33619377,0.09404148,-0.34935190583979725,7.6293945e-06,4.018147786458333e-05,False,
PCDH9,18,0.17410488,0.024072876,-0.21645044207423372,7.6293945e-06,4.018147786458333e-05,False,
DUSP6,18,0.1591877,0.027251743,-0.19034334668627123,7.6293945e-06,4.018147786458333e-05,False,
NRGN,18,0.15270212,0.007112003,-0.2100421535247719,7.6293945e-06,4.018147786458333e-05,False,
FCGR3A,18,0.37087104,0.031859532,-0.48909019592511,7.6293945e-06,4.018147786458333e-05,False,
FCN1,18,0.36504686,0.033947024,-0.4776760943483098,7.6293945e-06,4.018147786458333e-05,False,
PPBP,18,0.25624445,9.701823e-05,-0.3695426475532596,7.6293945e-06,4.018147786458333e-05,False,
FCRL1,18,0.5314819,0.06836694,-0.6681336805104167,7.6293945e-06,4.018147786458333e-05,False,
LILRB2,18,0.16567867,0.021842219,-0.20751211674792913,7.6293945e-06,4.018147786458333e-05,False,
GNLY,18,0.47909588,0.1376428,-0.4926126585887566,7.6293945e-06,4.018147786458333e-05,False,
GZMB,18,0.22199705,0.04000761,-0.26255527164572784,7.6293945e-06,4.018147786458333e-05,False,
GZMK,18,0.13302396,0.53945845,0.5863610035133516,7.6293945e-06,4.018147786458333e-05,False,
IGLC3,18,0.31215453,0.07011072,-0.34919540162751206,7.6293945e-06,4.018147786458333e-05,False,
IGLC2,18,0.4703241,0.15767492,-0.4510574365653559,7.6293945e-06,4.018147786458333e-05,False,
IGHM,18,1.0407299,0.2598933,-1.1265090648613105,7.6293945e-06,4.018147786458333e-05,False,
FCRL5,18,0.15265387,0.038069177,-0.1653107774030682,7.6293945e-06,4.018147786458333e-05,False,
PPM1L,18,0.13677306,0.04659536,-0.1300989204784286,7.6293945e-06,4.018147786458333e-05,False,
IGHD,18,0.6023123,0.051623948,-0.7944754035046023,7.6293945e-06,4.018147786458333e-05,False,
RGS1,18,0.020970382,0.15996599,0.20052828825735491,7.6293945e-06,4.018147786458333e-05,False,
STEAP1B,18,0.15501702,0.021445375,-0.19270314213659118,7.6293945e-06,4.018147786458333e-05,False,
S100A9,18,0.5421774,0.028777726,-0.7406791443233903,7.6293945e-06,4.018147786458333e-05,False,
S100A8,18,0.44734108,0.028788187,-0.6038442008564494,7.6293945e-06,4.018147786458333e-05,False,
TCF7L2,18,0.1882538,0.019742418,-0.2431105476760456,7.6293945e-06,4.018147786458333e-05,False,
RUNX2,18,0.10223014,0.2005591,0.14185869643454735,7.6293945e-06,4.018147786458333e-05,False,
CFD,18,0.2799743,0.061232977,-0.3155770284566105,7.6293945e-06,4.018147786458333e-05,False,
VCAN,18,0.22755581,0.022379348,-0.2960070581214374,7.6293945e-06,4.018147786458333e-05,False,
RGS18,18,0.14848475,0.025341988,-0.17765745490417195,7.6293945e-06,4.018147786458333e-05,False,
TIGIT,18,0.07064626,0.22388853,0.22108184887064372,7.6293945e-06,4.018147786458333e-05,False,
HLA-DRA,18,2.2916021,1.087587,-1.7370266655235267,1.5258789e-05,6.888253348214286e-05,False,
DUSP2,18,0.16787554,0.3934051,0.3253703870295109,1.5258789e-05,6.888253348214286e-05,False,
COL19A1,18,0.31618956,0.038063593,-0.40125095990584747,1.5258789e-05,6.888253348214286e-05,False,
IRAK3,18,0.15167914,0.029714704,-0.1759574923917185,1.5258789e-05,6.888253348214286e-05,False,
CD74,18,3.3216567,2.0598807,-1.820357935294036,1.5258789e-05,6.888253348214286e-05,False,
TBXAS1,18,0.26477632,0.10370311,-0.23237951819280978,2.2888184e-05,8.82032440929878e-05,False,
MAP3K7CL,18,0.13390757,0.043311343,-0.13070273006777658,2.2888184e-05,8.82032440929878e-05,False,
MS4A7,18,0.24623305,0.04968119,-0.28356439280332085,2.2888184e-05,8.82032440929878e-05,False,
FHIT,18,0.31314534,0.19681092,-0.16783509575676978,2.2888184e-05,8.82032440929878e-05,False,
SERPINA1,18,0.29422215,0.062719315,-0.33398798620978776,2.2888184e-05,8.82032440929878e-05,False,
CX3CR1,18,0.16190046,0.04648535,-0.16650880854897854,2.2888184e-05,8.82032440929878e-05,False,
SPON2,18,0.17600805,0.06832501,-0.1553537773378718,3.8146973e-05,0.0001310265582540761,False,
KHDRBS2,18,0.26313967,0.06933823,-0.27959636608695143,3.8146973e-05,0.0001310265582540761,False,
GZMA,18,0.35141298,0.602599,0.3623848586113377,3.8146973e-05,0.0001310265582540761,False,
MT1X,18,0.12021951,0.2003787,0.11564527277268892,3.8146973e-05,0.0001310265582540761,True,0.0005340576171875
LST1,18,0.50537413,0.1688666,-0.4854777433393994,3.8146973e-05,0.0001310265582540761,False,
