gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2fc,pval,padj
MT1E,28,0.06773936,0.09052138,0.03286750766615025,0.014263822,0.19969350472092628
SLC39A4,28,0.055722106,0.07049532,0.021313245603354732,0.04511831,0.3158281669020653
SLC39A14,28,0.0053013912,0.012673014,0.010635003373210897,0.07015661,0.32739752034346264
SLC39A6,28,0.07523524,0.087062664,0.01706336619451035,0.18578492,0.37156984210014343
SLC39A11,28,0.09459279,0.1097309,0.02183967912318795,0.16630037,0.37156984210014343
MT1F,28,0.11411119,0.13142486,0.02497834100360285,0.15690973,0.37156984210014343
MT1X,28,0.25400946,0.27174807,0.025591405409350367,0.18578492,0.37156984210014343
SLC39A7,28,0.06561931,0.0744173,0.012692814083796508,0.21827306,0.3819778524339199
SLC30A1,28,0.018554201,0.02376411,0.007516308275476831,0.32207525,0.5010059409671359
SLC39A10,28,0.20608851,0.21640532,0.014884002042776838,0.4380012,0.6132016599178314
MT2A,28,0.51328987,0.5197602,0.009334702340880664,0.49323368,0.6277519572864879
SLC30A9,28,0.1140575,0.12066877,0.0095380395787789,0.6829617,0.7967886527379354
SLC39A1,28,0.08005329,0.07760695,-0.0035293204718497696,0.86650777,0.9043841361999512
SLC39A9,28,0.06781687,0.07285174,0.0072637839994318335,0.90438414,0.9043841361999512
