names,scores,logfoldchanges,pvals,pvals_adj
SLC39A7,3.6321046,0.5401396,0.0002811190810736741,0.0046821024548651296
SLC39A1,3.365792,0.36752406,0.000763242124008256,0.011448186820984477
SLC39A6,3.3065197,0.44749355,0.00094462697948766,0.013802660846543918
SLC39A4,2.585046,0.52763236,0.009736600766349367,0.1068228670803562
SLC30A9,2.4522624,0.38927,0.014196113720507978,0.14893144178692247
MT2A,2.1108994,-0.061368324,0.03478095030781735,0.3210280465440594
MT1F,1.9182279,0.09066117,0.05508212136311596,0.47564031216676567
SLC39A10,1.8989348,0.019142888,0.05757304792796063,0.4933408010988871
SLC39A11,1.7868536,0.7979559,0.07396116769683611,0.6076579616203808
SLC39A9,1.1384699,0.39984828,0.25492430522514875,1.0
MT1E,0.97233236,0.21211515,0.33088522131528175,1.0
SLC30A1,0.7221865,0.2985783,0.47017982646018164,1.0
SLC39A14,0.65024644,1.4754659,0.5155330299367684,1.0
MT1X,0.49410373,-0.23216593,0.6212329250268842,1.0
