names,scores,logfoldchanges,pvals,pvals_adj
MT2A,6.463251,0.3456016,1.0247713997055141e-10,3.3898666694591577e-09
SLC39A7,5.003018,0.76396084,5.64397431109386e-07,1.1616496399573497e-05
SLC39A6,4.751032,0.8102835,2.0238108187182455e-06,3.877923629882804e-05
MT1X,4.260746,0.4128583,2.037458068176509e-05,0.00033843502597672267
SLC39A1,3.8029199,0.33416215,0.0001430006207643332,0.002086846981842513
MT1F,3.7588553,0.67702276,0.00017069255899238543,0.0024611712140400585
SLC39A10,3.407187,0.42584023,0.0006563611796039247,0.008542559892732011
SLC30A9,2.8505592,0.3725209,0.00436424261647087,0.04843491217487688
MT1E,2.3905735,0.9719683,0.016822086330365655,0.16431553383403125
SLC39A11,2.0276048,0.76380754,0.04260059734181648,0.3763290588260557
SLC39A9,1.4521468,0.4208846,0.1464607963897955,1.0
SLC39A14,0.83339405,1.5616044,0.40462252068542537,1.0
SLC30A1,0.6943852,0.109082274,0.487440700212069,1.0
