gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2fc,pval,padj
MT1X,26,0.13092244,0.22904645,0.14156302601096715,2.6226044e-06,3.6716461181640625e-05
MT1F,26,0.06925901,0.13750328,0.09845567131244526,1.3321638e-05,9.325146675109863e-05
SLC39A7,26,0.07744287,0.119327456,0.06042668482209448,7.0244074e-05,0.0003278056780497233
MT1E,26,0.026180843,0.0793665,0.07673068311955145,0.00014480948,0.00040546655654907223
MT2A,26,0.38695186,0.55371964,0.2405950434332007,0.00012588501,0.00040546655654907223
SLC39A6,26,0.06560094,0.08891295,0.03363212103405494,0.021971673,0.05126723647117615
SLC39A14,26,0.006086027,0.009673174,0.005175158834823662,0.039248813,0.07849762588739395
SLC39A10,26,0.1610935,0.18421426,0.0333562071174926,0.07092106,0.12411186099052429
SLC39A4,26,0.058735438,0.051220216,-0.010842173271355898,0.22695851,0.31774191856384276
SLC39A9,26,0.087311454,0.09726749,0.014363528796687584,0.21726066,0.31774191856384276
SLC30A1,26,0.019534342,0.018044295,-0.002149683708315078,0.31525144,0.40122910521247174
SLC39A11,26,0.15271825,0.14855938,-0.005999980238482163,0.4524725,0.5278845926125845
SLC39A1,26,0.09590986,0.09358566,-0.003353113497125143,0.65281284,0.7030292107508732
SLC30A9,26,0.13378765,0.13181311,-0.0028486561353974886,1.0,1.0
