tissue,dataset,total_counts,n_genes_detected
CSF,GSE133028,12915.0,3358
CSF,GSE133028,3075.0,1506
CSF,GSE133028,14369.0,3602
CSF,GSE133028,4070.0,1631
CSF,GSE133028,4616.0,1576
CSF,GSE133028,9075.0,2684
CSF,GSE133028,3678.0,1232
CSF,GSE133028,5095.0,1791
CSF,GSE133028,2223.0,1025
CSF,GSE133028,1385.0,910
CSF,GSE133028,2448.0,1074
CSF,GSE133028,3717.0,1234
CSF,GSE133028,3715.0,1357
CSF,GSE133028,3139.0,1146
CSF,GSE133028,3811.0,1743
CSF,GSE133028,5898.0,1714
CSF,GSE133028,11136.0,2356
CSF,GSE133028,2405.0,825
CSF,GSE133028,5756.0,2019
CSF,GSE133028,4013.0,1521
CSF,GSE133028,3251.0,1230
CSF,GSE133028,3997.0,1559
CSF,GSE133028,4346.0,1510
CSF,GSE133028,3805.0,1214
CSF,GSE133028,4203.0,1446
CSF,GSE133028,3001.0,1142
CSF,GSE133028,6063.0,2067
CSF,GSE133028,3112.0,1113
CSF,GSE133028,4021.0,1433
CSF,GSE133028,8687.0,2701
CSF,GSE133028,4299.0,1332
CSF,GSE133028,11398.0,2994
CSF,GSE133028,19778.0,4499
CSF,GSE133028,2531.0,814
CSF,GSE133028,4043.0,1404
CSF,GSE133028,2805.0,952
CSF,GSE133028,5777.0,1958
CSF,GSE133028,25326.0,5520
CSF,GSE133028,1788.0,886
CSF,GSE133028,3339.0,1543
CSF,GSE133028,6592.0,2626
CSF,GSE133028,3233.0,1332
CSF,GSE133028,2922.0,1103
CSF,GSE133028,8227.0,2392
CSF,GSE133028,4306.0,1374
CSF,GSE133028,3518.0,1282
CSF,GSE133028,4346.0,1540
CSF,GSE133028,4280.0,1438
CSF,GSE133028,4611.0,1888
CSF,GSE133028,2853.0,1072
CSF,GSE133028,14405.0,3156
CSF,GSE133028,3701.0,1102
CSF,GSE133028,2586.0,975
CSF,GSE133028,4207.0,1235
CSF,GSE133028,7960.0,2592
CSF,GSE133028,4417.0,1561
CSF,GSE133028,3598.0,1356
CSF,GSE133028,2226.0,950
CSF,GSE133028,3198.0,1055
CSF,GSE133028,3578.0,1225
CSF,GSE133028,22534.0,4080
CSF,GSE133028,3836.0,1458
CSF,GSE133028,6275.0,1928
CSF,GSE133028,4118.0,1591
CSF,GSE133028,1263.0,730
CSF,GSE133028,2003.0,828
CSF,GSE133028,2225.0,1085
CSF,GSE133028,2046.0,932
CSF,GSE133028,2264.0,842
CSF,GSE133028,5961.0,2373
CSF,GSE133028,1647.0,860
CSF,GSE133028,3208.0,1274
CSF,GSE133028,2047.0,1020
CSF,GSE133028,2284.0,1084
CSF,GSE133028,1841.0,841
CSF,GSE133028,1145.0,700
CSF,GSE133028,1517.0,811
CSF,GSE133028,4028.0,1449
CSF,GSE133028,1352.0,746
CSF,GSE133028,4619.0,1644
CSF,GSE133028,1865.0,751
CSF,GSE133028,1634.0,848
CSF,GSE133028,1605.0,679
CSF,GSE133028,2161.0,938
CSF,GSE133028,1404.0,700
CSF,GSE133028,2331.0,835
CSF,GSE133028,1291.0,656
CSF,GSE133028,2220.0,918
CSF,GSE133028,2270.0,876
CSF,GSE133028,7617.0,2895
