gene,tissue,cxcr3_group,n_cells,pct_expressing,mean_count
SLC39A1,ALL,ALL,40199,9.48282295579492,0.10433096
SLC39A1,CSF,CXCR3+,3169,11.833385926159671,0.13537394
SLC39A1,CSF,CXCR3-,6482,7.327985189756248,0.07852515
SLC39A1,PB,CXCR3+,2731,12.669351885756134,0.14756499
SLC39A1,PB,CXCR3-,27817,9.404321098608765,0.10256318
SLC39A4,ALL,ALL,40199,5.997661633373965,0.06537476
SLC39A4,CSF,CXCR3+,3169,8.520037866834963,0.09687599
SLC39A4,CSF,CXCR3-,6482,5.029311940759025,0.054304227
SLC39A4,PB,CXCR3+,2731,7.945807396558037,0.08971073
SLC39A4,PB,CXCR3-,27817,5.744688499838229,0.06197649
SLC39A6,ALL,ALL,40199,7.4056568571357495,0.081942335
SLC39A6,CSF,CXCR3+,3169,11.517828968128747,0.12874724
SLC39A6,CSF,CXCR3-,6482,6.664609688367788,0.07327985
SLC39A6,PB,CXCR3+,2731,11.570853167337972,0.1354815
SLC39A6,PB,CXCR3-,27817,6.700938275155481,0.0733724
SLC39A7,ALL,ALL,40199,8.025075250628126,0.09258937
SLC39A7,CSF,CXCR3+,3169,11.864941621962764,0.14925843
SLC39A7,CSF,CXCR3-,6482,5.538414069731564,0.061709348
SLC39A7,PB,CXCR3+,2731,13.548150860490663,0.17283046
SLC39A7,PB,CXCR3-,27817,7.624833734766509,0.08545134
SLC39A9,ALL,ALL,40199,10.002736386477276,0.12249061
SLC39A9,CSF,CXCR3+,3169,9.6244872199432,0.11991164
SLC39A9,CSF,CXCR3-,6482,7.019438444924406,0.083307624
SLC39A9,PB,CXCR3+,2731,15.269132186012449,0.20029293
SLC39A9,PB,CXCR3-,27817,10.22396376316641,0.12427652
SLC39A10,ALL,ALL,40199,16.420806487723574,0.21216945
SLC39A10,CSF,CXCR3+,3169,21.520984537709058,0.3007258
SLC39A10,CSF,CXCR3-,6482,17.30947238506634,0.23125578
SLC39A10,PB,CXCR3+,2731,21.530574880995974,0.2735262
SLC39A10,PB,CXCR3-,27817,15.131034978610202,0.19160944
SLC39A11,ALL,ALL,40199,16.05512574939675,0.2869723
SLC39A11,CSF,CXCR3+,3169,15.620069422530767,0.26727673
SLC39A11,CSF,CXCR3-,6482,10.922554767047208,0.16368406
SLC39A11,PB,CXCR3+,2731,21.530574880995974,0.38264373
SLC39A11,PB,CXCR3-,27817,16.763130459790776,0.30855232
SLC39A14,ALL,ALL,40199,0.9328590263439389,0.009950496
SLC39A14,CSF,CXCR3+,3169,2.114231618807195,0.02177343
SLC39A14,CSF,CXCR3-,6482,0.9256402344955261,0.009410676
SLC39A14,PB,CXCR3+,2731,1.720981325521787,0.02050531
SLC39A14,PB,CXCR3-,27817,0.7225797174389761,0.0076931375
SLC30A1,ALL,ALL,40199,2.380656235229732,0.025821539
SLC30A1,CSF,CXCR3+,3169,3.912906279583465,0.042915747
SLC30A1,CSF,CXCR3-,6482,2.0826905276149335,0.024375193
SLC30A1,PB,CXCR3+,2731,2.6363969242035887,0.027828634
SLC30A1,PB,CXCR3-,27817,2.250422403566165,0.024014093
SLC30A9,ALL,ALL,40199,14.191895320779125,0.17592478
SLC30A9,CSF,CXCR3+,3169,15.746292205743137,0.20132534
SLC30A9,CSF,CXCR3-,6482,11.030546127738353,0.1332922
SLC30A9,PB,CXCR3+,2731,20.505309410472357,0.26437202
SLC30A9,PB,CXCR3-,27817,14.131646115684655,0.17428191
MT1E,ALL,ALL,40199,3.806064827483271,0.05947909
MT1E,CSF,CXCR3+,3169,8.83559482486589,0.124644995
MT1E,CSF,CXCR3-,6482,4.813329219376736,0.06649182
MT1E,PB,CXCR3+,2731,8.861222995239839,0.20981325
MT1E,PB,CXCR3-,27817,2.502067081281231,0.035661645
MT1F,ALL,ALL,40199,7.597203910545039,0.090027116
MT1F,CSF,CXCR3+,3169,13.064058062480278,0.15746292
MT1F,CSF,CXCR3-,6482,7.821659981487196,0.090249926
MT1F,PB,CXCR3+,2731,14.866349322592457,0.19882827
MT1F,PB,CXCR3-,27817,6.208433691627422,0.07161088
MT1X,ALL,ALL,40199,14.132192343093111,0.18368617
MT1X,CSF,CXCR3+,3169,23.477437677500788,0.33385926
MT1X,CSF,CXCR3-,6482,16.368404813329217,0.21243444
MT1X,PB,CXCR3+,2731,23.9838886854632,0.35591358
MT1X,PB,CXCR3-,27817,11.57925009886041,0.14297013
MT2A,ALL,ALL,40199,29.839050722654793,0.7308391
MT2A,CSF,CXCR3+,3169,42.03218680971915,1.1113917
MT2A,CSF,CXCR3-,6482,30.422709040419623,0.70826906
MT2A,PB,CXCR3+,2731,42.43866715488832,1.238008
MT2A,PB,CXCR3-,27817,27.076967322141137,0.64295214
