gene,CSF_pct_expressing,CSF_mean_count,PB_pct_expressing,PB_mean_count
SLC39A1,11.83,0.1354,12.67,0.1476
SLC39A4,8.52,0.0969,7.95,0.0897
SLC39A6,11.52,0.1287,11.57,0.1355
SLC39A7,11.86,0.1493,13.55,0.1728
SLC39A9,9.62,0.1199,15.27,0.2003
SLC39A10,21.52,0.3007,21.53,0.2735
SLC39A11,15.62,0.2673,21.53,0.3826
SLC39A14,2.11,0.0218,1.72,0.0205
SLC30A1,3.91,0.0429,2.64,0.0278
SLC30A9,15.75,0.2013,20.51,0.2644
MT1E,8.84,0.1246,8.86,0.2098
MT1F,13.06,0.1575,14.87,0.1988
MT1X,23.48,0.3339,23.98,0.3559
MT2A,42.03,1.1114,42.44,1.238
MT1A,0.25,0.0025,0.04,0.0004
MT1G,0.5,0.0069,0.18,0.0033
MT1H,0.0,0.0,0.04,0.0004
MT1M,0.13,0.0013,0.04,0.0004
